receiver_context,target_clean,max_regulatory_potential,sum_regulatory_potential,n_supporting_glial_ligands,best_ligand,supporting_ligands_top5,celltype,logFC,PValue,FDR,direction,rank_in_vascular_receiver
Cerebrovascular cells,DYNLRB1,0.006372970507997686,0.08959997213172124,20,IL1B,IL1B:0.0064;IGF1:0.0062;IL18:0.0056;JAM2:0.0056;PDGFC:0.0055,Cerebrovascular cells,0.463656534622131,0.00247005020675045,0.908262525040509,AD-enriched_nominal,114
Cerebrovascular cells,CCDC69,0.006328240831842964,0.08184265123001824,20,IL1B,IL1B:0.0063;IGF1:0.0061;VEGFA:0.0054;FGF2:0.0053;IL18:0.0053,Cerebrovascular cells,0.477316620427842,0.0384618904164053,0.908262525040509,AD-enriched_nominal,115
Cerebrovascular cells,ATP5MG,0.00619326690312723,0.06559174892072651,20,JAM2,JAM2:0.0062;IGF1:0.0048;IL1B:0.0047;IL18:0.0041;FGF2:0.0036,Cerebrovascular cells,0.4317359591157,0.0100552177434732,0.908262525040509,AD-enriched_nominal,116
Cerebrovascular cells,NENF,0.006189395353499974,0.0841066225210029,20,JAM2,JAM2:0.0062;ANGPT1:0.0062;IL1B:0.0061;IL18:0.0058;IGF1:0.0055,Cerebrovascular cells,0.487310603785958,0.0137370732508245,0.908262525040509,AD-enriched_nominal,117
Cerebrovascular cells,CMPK1,0.006178790903437222,0.08784741451018738,20,IL18,IL18:0.0062;JAM2:0.006;IL1B:0.0058;IGF1:0.0051;HGF:0.005,Cerebrovascular cells,0.358572888852497,0.0188589348672527,0.908262525040509,AD-enriched_nominal,118
Cerebrovascular cells,HADHA,0.00584077105848046,0.08433283491183352,20,IL1B,IL1B:0.0058;IGF1:0.0057;IL18:0.0055;FGF2:0.0052;JAM2:0.005,Cerebrovascular cells,0.300737281823403,0.0236712702484616,0.908262525040509,AD-enriched_nominal,119
Cerebrovascular cells,MOB2,0.005669382232152755,0.07057080278303593,20,IL18,IL18:0.0057;IGF1:0.0052;IL1B:0.005;HGF:0.0044;ANGPT1:0.0044,Cerebrovascular cells,0.48343867367654503,0.0070478198759939,0.908262525040509,AD-enriched_nominal,120
Cerebrovascular cells,LEMD3,0.005374612459804999,0.07708978211194963,20,IL18,IL18:0.0054;IL1B:0.0053;IGF1:0.0052;FGF2:0.0047;VEGFA:0.0045,Cerebrovascular cells,0.320567842956594,0.0163205379918299,0.908262525040509,AD-enriched_nominal,121
Cerebrovascular cells,GALNT15,0.005175337640657921,0.07235254737673451,20,IGF1,IGF1:0.0052;IL1B:0.005;IL18:0.0047;JAM2:0.0044;FGF2:0.0043,Cerebrovascular cells,0.376370840273744,0.0497617822593389,0.908262525040509,AD-enriched_nominal,122
Cerebrovascular cells,SRSF8,0.005171884819685254,0.06926879704955641,20,IL18,IL18:0.0052;IL1B:0.0046;IGF1:0.0046;FGF2:0.0042;HGF:0.0042,Cerebrovascular cells,0.413685483848547,0.0482358138690719,0.908262525040509,AD-enriched_nominal,123
Cerebrovascular cells,PSMA7,0.005169224452075399,0.07640106478134036,20,IL1B,IL1B:0.0052;IGF1:0.0051;HGF:0.0046;IL18:0.0045;FGF2:0.0043,Cerebrovascular cells,0.380400584861322,0.0326151486348426,0.908262525040509,AD-enriched_nominal,124
Cerebrovascular cells,ATP6V1D,0.005131493079103204,0.0709739851658502,20,IL1B,IL1B:0.0051;IGF1:0.005;JAM2:0.0047;IL18:0.0044;HGF:0.0039,Cerebrovascular cells,0.472381885489717,0.00757301161060896,0.908262525040509,AD-enriched_nominal,125
Cerebrovascular cells,VWA1,0.005051727412129651,0.06796420619219479,20,IL1B,IL1B:0.0051;IGF1:0.0045;IL18:0.0043;HGF:0.0041;ANGPT1:0.004,Cerebrovascular cells,0.626761196479998,0.00490063844979663,0.908262525040509,AD-enriched_nominal,126
Cerebrovascular cells,EVA1B,0.00497971276859328,0.06719751100141202,20,IL1B,IL1B:0.005;JAM2:0.0049;IGF1:0.0048;IL18:0.0042;FGF2:0.004,Cerebrovascular cells,0.612171611159908,0.00293939029322589,0.908262525040509,AD-enriched_nominal,127
Cerebrovascular cells,CLPTM1,0.004616843240569607,0.060632771278980126,20,IL1B,IL1B:0.0046;IGF1:0.0042;FGF2:0.0038;HGF:0.0037;IL18:0.0037,Cerebrovascular cells,0.415451116229784,0.0291673789311568,0.908262525040509,AD-enriched_nominal,128
Cerebrovascular cells,C2ORF83,0.003117283478911308,0.02466065693310199,20,JAM2,JAM2:0.0031;IL1B:0.0022;PDGFB:0.0021;ANGPT1:0.0016;FGF2:0.0014,Cerebrovascular cells,0.830568574921746,0.0134293113797941,0.908262525040509,AD-enriched_nominal,129
Cerebrovascular cells,FAM110D,0.0030763704385829444,0.038962656316588566,20,IL1B,IL1B:0.0031;IGF1:0.0027;ANGPT1:0.0026;FGF2:0.0025;JAM2:0.0024,Cerebrovascular cells,0.596172517689705,0.0239958760430887,0.908262525040509,AD-enriched_nominal,130
