"UMAP_1","UMAP_2","subtype","group"
1.42135916087909,-2.84104116445676,"DAM","CN"
-1.88762702610211,5.69830314630374,"DAM","CN"
0.514516303279828,-5.94783361440793,"DAM","CN"
-0.211269369384814,-5.2544346619238,"DAM","CN"
2.74196849201007,-0.903329448758521,"DAM","CN"
-2.36120714809613,-1.22078605180875,"Homeostatic","CN"
-1.1908384766789,5.87886659616335,"DAM","CN"
-1.6710881200047,3.24202196115359,"DAM","CN"
-3.51149167682843,4.79097358697756,"DAM","CN"
1.01079658601565,2.97314278596743,"DAM","CN"
2.40923247669024,-3.61565979009763,"DAM","CN"
-3.15296330120282,4.31083218568667,"DAM","CN"
-3.16396369602399,4.63417093271121,"DAM","CN"
1.78047094676776,1.27938340419634,"DAM","CN"
-2.53489818241315,2.81904904359683,"DAM","CN"
-1.85570945408063,-1.34973366743223,"Homeostatic","CN"
-3.22045673992353,0.0759584736238341,"Homeostatic","CN"
0.384997824171018,-2.42908843046323,"DAM","CN"
2.41297970149798,1.67788426393374,"DAM","CN"
-1.76535739566999,-3.81527002340452,"DAM","CN"
1.16680322025103,-4.88745506292478,"DAM","CN"
0.28127864930911,-1.58271129614011,"Homeostatic","CN"
-2.69755544330793,-3.71070487981931,"Homeostatic","CN"
0.716711262205075,-4.78334053045408,"DAM","CN"
-0.528211375734378,3.6843761634241,"DAM","CN"
-1.38149239685254,-2.68120940214292,"Homeostatic","CN"
-1.94281341697888,-3.23255022054807,"Homeostatic","CN"
-1.98038949634748,5.65855924600466,"DAM","CN"
-1.74597277309613,-4.51349218374387,"DAM","CN"
-0.272186121007968,5.00465385431155,"DAM","CN"
-2.31778325702863,0.0194004606614928,"Homeostatic","CN"
-0.83084841634946,-3.2704704571356,"DAM","CN"
2.52970133159442,-3.08739765173093,"DAM","CN"
-3.95103182460981,-1.79961188322202,"Homeostatic","CN"
-1.71109630729871,0.673590907842956,"Homeostatic","CN"
0.374190906026792,-5.25716646200315,"DAM","CN"
-0.775040468236972,-2.01512201315061,"Homeostatic","CN"
1.14467487666888,-5.54592664724485,"DAM","CN"
-1.25310530330854,-5.05782039648191,"DAM","CN"
-1.32637955810742,-2.87931688314573,"Homeostatic","CN"
-0.39703511264043,-3.11483653074399,"DAM","CN"
-0.0370880421610365,0.992650253714166,"DAM","CN"
-1.3373239245625,-1.89876754766599,"Homeostatic","CN"
-4.17694439556317,-0.884966926633276,"Homeostatic","CN"
-2.51006760265546,-2.78206332212583,"Homeostatic","CN"
1.55719993446155,-5.77596385961667,"DAM","CN"
-0.429613491556216,4.04405896180972,"DAM","CN"
4.96508536670489,3.2862626742731,"DAM","CN"
-4.05947508480268,-0.448987441121497,"Homeostatic","CN"
0.387347945907544,2.50460021013125,"DAM","CN"
-0.372241755983401,-4.44100816732541,"DAM","CN"
-3.3951407876225,-0.733338551579871,"Homeostatic","CN"
-2.19650020267682,3.64770643228396,"DAM","CN"
3.31515083644671,2.86793820375308,"DAM","CN"
-0.627026518842746,5.64168874734744,"DAM","CN"
1.31046877239032,-1.56357629781858,"DAM","CN"
-0.199009602925349,-4.14842613226072,"DAM","CN"
-3.14767899181562,3.54044167512759,"DAM","CN"
-1.45086576606946,0.400531811655603,"Homeostatic","CN"
-1.23989655639844,-0.208967464028754,"Homeostatic","CN"
-3.13317503597455,0.298729462565027,"Homeostatic","CN"
-1.96526970531659,0.30201442355021,"Homeostatic","CN"
-2.32395615246015,-3.19415791517393,"Homeostatic","CN"
-0.525440951845218,0.535402474940858,"Homeostatic","CN"
-1.65941824581342,-2.61759598737852,"Homeostatic","CN"
0.649306574800443,3.85775558465823,"DAM","CN"
-1.32080819275098,-3.3280864525427,"Homeostatic","CN"
2.62822494838519,-3.90245874410764,"DAM","CN"
2.25398192737384,-2.7838924694647,"DAM","CN"
-0.758387645742465,-4.14723022466794,"DAM","CN"
-2.58902516033368,-4.18141086584226,"Homeostatic","CN"
0.103287899830769,-1.68786390310422,"DAM","CN"
0.291561687329244,-4.47187431341306,"DAM","CN"
-2.49879374172406,-1.35582597738401,"Homeostatic","CN"
0.976053813436459,2.75443284028872,"DAM","CN"
1.3943244013576,-5.72994907385007,"DAM","CN"
-2.61013140346723,4.93926565164431,"DAM","CN"
-2.19179572727399,-3.3745804596533,"DAM","CN"
-2.26165880825238,0.582389397562585,"Homeostatic","CN"
