sample_id,group,CellType,n_spots,spearman_rho,p_value,FDR,CellType_label
T4857,AD,Endo_SMC,4795,-0.0478029935744934,0.0009289909611202,0.0011823521323348,Vascular SMC
T4857,AD,Endo_Arterial,4795,-0.0185009175759676,0.200232653742242,0.227291120464167,Arterial EC
T4857,AD,Astro_Reactive,4795,0.296102619300638,1.21810095281961e-97,3.19751500115147e-97,Reactive astrocytes
T4857,AD,Astro_Homeostatic,4795,0.432634681142403,5.44371749020757e-218,2.5404014954302e-217,Homeostatic astrocytes
T4857,AD,Astro_Intermediate,4795,0.221621059728822,1.98167131675879e-54,4.498929475884809e-54,Intermediate astrocytes
T4857,AD,Micro_DAM,4795,0.576559317606864,0.0,0.0,DAM-like microglia
T4857,AD,Micro_Homeostatic,4795,0.0874512706607587,1.3138846792791e-09,1.8394385509907398e-09,Homeostatic microglia
T4857,AD,Oligodendrocytes,4795,0.869567842024731,0.0,0.0,Oligodendrocytes
T4857,AD,OPCs,4795,0.0904287517520469,3.54051367837962e-10,5.12764049972221e-10,OPCs
T4857,AD,Inhibitory,4795,0.235201720797923,2.8750115251415803e-61,6.708360225330351e-61,Inhibitory
T4857,AD,Excitatory,4795,0.535534997739033,0.0,0.0,Excitatory
