"celltype","gene","logFC","logCPM","F","PValue","FDR","n_cells","n_samples_AD","n_samples_CN","assay","direction","neglog10P"
"Excitatory","AC069120.1",-0.191705426278795,4.3089130853555,2.8142336240131,0.0980370015372995,0.992957765619551,127723,33,33,"decontX","Not significant",1.00860998011803
"Excitatory","AL583810.1",-0.248637172780143,-0.796972669195657,2.81041586748866,0.0980704062586002,0.992957765619551,127723,33,33,"decontX","Not significant",1.00846202562275
"Excitatory","RNASE10",0.351999589088928,0.370124118648659,2.81346497736545,0.0980882008610783,0.992957765619551,127723,33,33,"decontX","Not significant",1.00838323124509
"Excitatory","AL359232.1",-0.196747157922643,5.16645306433713,2.81307758448797,0.0981042233432587,0.992957765619551,127723,33,33,"decontX","Not significant",1.00831229603298
"Excitatory","NRAV",0.129351327660591,1.81287238196812,2.81059641471976,0.0982595211516253,0.992957765619551,127723,33,33,"decontX","Not significant",1.00762535664444
"Excitatory","ZNF726",-0.194938657435164,1.79759324518838,2.81046509441214,0.0982664219234375,0.992957765619551,127723,33,33,"decontX","Not significant",1.00759485718902
"Excitatory","SPTY2D1OS",0.198148257006818,2.76439058461914,2.80968496226117,0.0983067427882403,0.992957765619551,127723,33,33,"decontX","Not significant",1.00741669320249
"Excitatory","SH3KBP1",-0.0793160975078007,6.83498606636647,2.80848364628624,0.0983733567497098,0.992957765619551,127723,33,33,"decontX","Not significant",1.00712250912329
"Excitatory","NPSR1",-0.366336687541371,3.13022860772046,2.80785255649235,0.0984132398852369,0.992957765619551,127723,33,33,"decontX","Not significant",1.00694647044775
"Excitatory","MXRA5",-0.259638531317914,-0.922369342881432,2.80090247981597,0.0984235324627265,0.992957765619551,127723,33,33,"decontX","Not significant",1.00690105200729
"Excitatory","PIK3R3",0.203374945924238,3.31725024814102,2.80715980656729,0.0984538500109269,0.992957765619551,127723,33,33,"decontX","Not significant",1.00676729622664
"Excitatory","ZNF587",-0.113082662361511,4.66875119280425,2.80466767240518,0.0985979821452883,0.992957765619551,127723,33,33,"decontX","Not significant",1.00613197301147
"Excitatory","LINC01141",0.221221931665137,2.49893576794543,2.80465751928507,0.0986034540941075,0.992957765619551,127723,33,33,"decontX","Not significant",1.00610787139006
"Excitatory","LINC02476",-0.259611147302075,-1.27005921565257,2.79216490749794,0.0987237171882882,0.992957765619551,127723,33,33,"decontX","Not significant",1.00557850075847
"Excitatory","MBTPS1",0.059404863594899,6.37684582755294,2.80211117708048,0.0987482775809528,0.992957765619551,127723,33,33,"decontX","Not significant",1.00547047082668
"Excitatory","AC008655.2",-0.287720270154107,-1.54753791987665,2.78581117725428,0.0988207554394663,0.992957765619551,127723,33,33,"decontX","Not significant",1.00515183045128
"Excitatory","ERVK-28",-0.312824226376248,-0.928949723557143,2.79591000713854,0.0988260570966821,0.992957765619551,127723,33,33,"decontX","Not significant",1.00512853151269
"Excitatory","RUSC1-AS1",0.304663656694132,-1.07071361303066,2.79408952865424,0.0988348917169464,0.992957765619551,127723,33,33,"decontX","Not significant",1.00508970920756
"Excitatory","C11orf1",0.163657165456734,2.05506399804207,2.80054384284836,0.0988494606388712,0.992957765619551,127723,33,33,"decontX","Not significant",1.00502569602356
"Excitatory","AC006111.1",0.304545624396552,-1.31269139937399,2.78966921629773,0.0988792301842336,0.992957765619551,127723,33,33,"decontX","Not significant",1.00489492340454
"Excitatory","PAN2",-0.120947987130493,4.00219652628934,2.79988035658465,0.0988806821890036,0.992957765619551,127723,33,33,"decontX","Not significant",1.0048885459982
"Excitatory","FBXO24",-0.255125340180521,-0.898453030262587,2.79190877243413,0.0990854734807812,0.992957765619551,127723,33,33,"decontX","Not significant",1.00399001099977
"Excitatory","RAP1B",-0.075555559806833,5.57227439417538,2.79615799221613,0.0991000320862835,0.992957765619551,127723,33,33,"decontX","Not significant",1.00392620490026
"Excitatory","ATP2B4",0.122511762470673,7.73649864225669,2.7961458259999,0.0991006604841395,0.992957765619551,127723,33,33,"decontX","Not significant",1.00392345102773
"Excitatory","PSG8",-0.323528424818141,1.62490385746276,2.79566682363306,0.0991427143837898,0.992957765619551,127723,33,33,"decontX","Not significant",1.00373919491479
"Excitatory","MAOA",0.1344036859624,2.95126233326749,2.79464726421639,0.0991926167405569,0.992957765619551,127723,33,33,"decontX","Not significant",1.00352065272654
"Excitatory","RABL6",0.0807723983554363,6.23887649777519,2.79248749966696,0.0993174989205668,0.992957765619551,127723,33,33,"decontX","Not significant",1.00297422567278
"Excitatory","SASH1",0.130894001016886,5.67603532486189,2.78935865164364,0.0995033778876637,0.992957765619551,127723,33,33,"decontX","Not significant",1.00216217580631
"Excitatory","SMIM12",-0.114295592161019,5.39279605529962,2.78756896947624,0.0996099267736673,0.992957765619551,127723,33,33,"decontX","Not significant",1.00169737916462
"Excitatory","CDK17",0.100704020606218,7.04754285056088,2.78725387534003,0.0996285588505888,0.992957765619551,127723,33,33,"decontX","Not significant",1.00161615180344
"Excitatory","THRA",0.129216921361413,6.28329301610925,2.78719413823952,0.0996321468465442,0.992957765619551,127723,33,33,"decontX","Not significant",1.00160051152113
"Excitatory","HMCN2",-0.254836163931454,0.824488137458022,2.78660050629479,0.0996736565655771,0.992957765619551,127723,33,33,"decontX","Not significant",1.00141960919041
"Excitatory","AC091849.2",-0.319027146275129,-1.49364952602711,2.77274310520488,0.0997236003300554,0.992957765619551,127723,33,33,"decontX","Not significant",1.00120205051273
"Excitatory","POMT1",0.128320843765014,4.52196419811308,2.7855687896631,0.0997293537072117,0.992957765619551,127723,33,33,"decontX","Not significant",1.00117699538166
"Excitatory","LINC00304",0.322663229899229,-0.900827949704325,2.78044067800314,0.099732232431502,0.992957765619551,127723,33,33,"decontX","Not significant",1.00116445949344
"Excitatory","AP000350.7",-0.274250795519081,-1.07942890142208,2.77748533234248,0.0997757729364592,0.992957765619551,127723,33,33,"decontX","Not significant",1.0009748991667
"Excitatory","RTN4R",0.153460230007332,5.2330246750946,2.78435344754417,0.0998015875606644,0.992957765619551,127723,33,33,"decontX","Not significant",1.0008625502622
"Excitatory","RSBN1L",0.0676216892340062,6.21187193571754,2.78231451022252,0.099923181685891,0.992957765619551,127723,33,33,"decontX","Not significant",1.00033374590467
"Excitatory","AL020996.2",0.271276361382635,-1.67375753944753,2.76496813685462,0.0999344674350059,0.992957765619551,127723,33,33,"decontX","Not significant",1.00028469760863
"Excitatory","PFN2",-0.157499601200731,3.5956361990601,2.78193299404411,0.0999472816445628,0.992957765619551,127723,33,33,"decontX","Not significant",1.00022901327994
"Excitatory","ADGRD1",0.361770773860796,1.42305724166041,2.78208828905251,0.0999522951319221,0.992957765619551,127723,33,33,"decontX","Not significant",1.00020722904276
"Excitatory","GADD45G",0.432562602229011,0.966193795329074,2.78183864536159,0.0999686183069712,0.992957765619551,127723,33,33,"decontX","Not significant",1.00013631035052
"Excitatory","NPAS3",-0.159090950872499,8.22515330150123,2.78139383724677,0.0999781645437313,0.992957765619551,127723,33,33,"decontX","Not significant",1.00009484053648
"Excitatory","LINC01184",-0.130399420428412,7.18107001956472,2.78109919763915,0.0999957853603997,0.992957765619551,127723,33,33,"decontX","Not significant",1.00001830433295
"Excitatory","GEMIN4",0.163644143339303,1.3464860663784,2.78103010867027,0.100015197399102,0.992957765619551,127723,33,33,"decontX","Not significant",0.999934003549051
"Excitatory","ATF3",0.529059841549924,0.959839188139407,2.77999065681289,0.100075952485129,0.992957765619551,127723,33,33,"decontX","Not significant",0.999670267752289
"Excitatory","AC073517.1",0.366611500578494,-1.24894350102076,2.76863315429486,0.100106033559276,0.992957765619551,127723,33,33,"decontX","Not significant",0.999539746071811
"Excitatory","GNB5",-0.0687377001858662,6.95740454552287,2.77801424424886,0.100180422273204,0.992957765619551,127723,33,33,"decontX","Not significant",0.999217142036245
"Excitatory","RIMS4",0.0996554385532257,4.61921682397888,2.77696399275991,0.100243663336905,0.992957765619551,127723,33,33,"decontX","Not significant",0.998943070725673
"Excitatory","ZNF460",0.118831980623524,2.85202591948179,2.77667463799986,0.100264093809663,0.992957765619551,127723,33,33,"decontX","Not significant",0.998854567001546
"Excitatory","LINC01485",-0.264953021865862,-1.03421171138293,2.77140271061314,0.100264750041805,0.992957765619551,127723,33,33,"decontX","Not significant",0.998851724537662
"Excitatory","PARP10",-0.1502035869494,1.82175918203425,2.77666887413117,0.100266290869844,0.992957765619551,127723,33,33,"decontX","Not significant",0.998845050527374
"Excitatory","AC022400.6",-0.139153730422112,2.12311722783708,2.77624335197879,0.100293349712965,0.992957765619551,127723,33,33,"decontX","Not significant",0.998727863377545
"Excitatory","COL18A1",-0.274741967912963,3.39545791333252,2.774547586553,0.10039023210162,0.992957765619551,127723,33,33,"decontX","Not significant",0.998308541680424
"Excitatory","ZNF442",-0.213142177968026,0.276309533495245,2.77423511418416,0.10040063881338,0.992957765619551,127723,33,33,"decontX","Not significant",0.998263523921645
"Excitatory","CUL2",-0.0570080876381221,5.625761610762,2.77334033749217,0.100460961249373,0.992957765619551,127723,33,33,"decontX","Not significant",0.998002670658841
"Excitatory","TMEM199",0.12067571943835,3.15266707062701,2.77278797460589,0.100496400425391,0.992957765619551,127723,33,33,"decontX","Not significant",0.997849493501068
"Excitatory","DLST",0.102170863334364,4.51147209397546,2.7726995560274,0.100499784737649,0.992957765619551,127723,33,33,"decontX","Not significant",0.997834868465892
"Excitatory","PLTP",0.20005144047008,0.858534226922525,2.77274037682416,0.100511559697774,0.992957765619551,127723,33,33,"decontX","Not significant",0.997783987753394
"Excitatory","U73166.1",-0.257145274116496,0.135817143236594,2.77216869164471,0.100511913957503,0.992957765619551,127723,33,33,"decontX","Not significant",0.997782457056078
"Excitatory","FLNB",-0.122318736079934,6.16857327552676,2.77146694218246,0.100573572604456,0.992957765619551,127723,33,33,"decontX","Not significant",0.997516122459481
"Excitatory","ITPK1",0.13386330792795,6.65159143004282,2.7707449583826,0.100617012550554,0.992957765619551,127723,33,33,"decontX","Not significant",0.997328581584612
"Excitatory","LAMP5-AS1",0.299659388947858,-0.926349218478596,2.76573553033684,0.100659897656115,0.992957765619551,127723,33,33,"decontX","Not significant",0.997143515498655
"Excitatory","ZMAT1",-0.155442250651207,5.46208475117852,2.77002804711666,0.100660281041002,0.992957765619551,127723,33,33,"decontX","Not significant",0.99714186139779
"Excitatory","PRKAB2",0.111262328696817,4.83920614570035,2.76682145439664,0.1008537470815,0.992957765619551,127723,33,33,"decontX","Not significant",0.99630796154058
"Excitatory","SRPK3",0.263518703843249,0.670560360393479,2.76678736877813,0.100870389283823,0.992957765619551,127723,33,33,"decontX","Not significant",0.996236303118518
"Excitatory","CMC2",-0.103620694973567,6.1743892081413,2.76653526484086,0.100870823254521,0.992957765619551,127723,33,33,"decontX","Not significant",0.996234434674514
"Excitatory","GPR20",0.443709082608567,-1.75767630521242,2.74740432170211,0.100890812914309,0.992957765619551,127723,33,33,"decontX","Not significant",0.996148378681566
"Excitatory","SLC17A7",0.153494539705664,7.79668946968699,2.76605386570162,0.100899855593763,0.992957765619551,127723,33,33,"decontX","Not significant",0.996109455317865
"Excitatory","IFT20",-0.103008893637113,5.16733299330754,2.76495620707896,0.100966331861986,0.992957765619551,127723,33,33,"decontX","Not significant",0.995823421506318
"Excitatory","AP003557.1",-0.276602235233119,-0.994387163222948,2.75828059328791,0.100977252681337,0.992957765619551,127723,33,33,"decontX","Not significant",0.995776449461154
"Excitatory","TMEM140",-0.44196355654209,0.0354903243576233,2.76319432085772,0.100991992396212,0.992957765619551,127723,33,33,"decontX","Not significant",0.995713059841175
"Excitatory","BX547991.1",-0.383579305911701,-1.05404623012036,2.75704377526348,0.100997276533064,0.992957765619551,127723,33,33,"decontX","Not significant",0.995690337134279
"Excitatory","AC015722.2",0.359850543341126,-1.42162945157374,2.75134141228271,0.101003579173764,0.992957765619551,127723,33,33,"decontX","Not significant",0.995663236238409
"Excitatory","AC099518.3",-0.260801972456505,-0.152977234840022,2.76261453856001,0.101050118932241,0.992957765619551,127723,33,33,"decontX","Not significant",0.995463170999885
"Excitatory","CBLN4",-0.240205350450618,4.35105480878169,2.76347649304422,0.101056153163332,0.992957765619551,127723,33,33,"decontX","Not significant",0.995437237779318
