ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Description_clean
GO_Biological_Process_2023::Heart Contraction (GO:0060047),GO_Biological_Process_2023::Heart Contraction (GO:0060047),2/49,7/1677,0.2857142857142857,9.778425655976676,4.036595825952913,0.01599579661668476,0.23864462738098105,0.22080793449093417,ATP1A2/DMD,2,Heart Contraction
GO_Biological_Process_2023::Potassium Ion Homeostasis (GO:0055075),GO_Biological_Process_2023::Potassium Ion Homeostasis (GO:0055075),2/49,7/1677,0.2857142857142857,9.778425655976676,4.036595825952913,0.01599579661668476,0.23864462738098105,0.22080793449093417,SLC12A7/ATP1A2,2,Potassium Ion Homeostasis
GO_Biological_Process_2023::Regulation Of RNA Metabolic Process (GO:0051252),GO_Biological_Process_2023::Regulation Of RNA Metabolic Process (GO:0051252),2/49,7/1677,0.2857142857142857,9.778425655976676,4.036595825952913,0.01599579661668476,0.23864462738098105,0.22080793449093417,PCBP3/PDE3A,2,Regulation of Rna Metabolic Process
GO_Biological_Process_2023::Regulation Of Heart Contraction (GO:0008016),GO_Biological_Process_2023::Regulation Of Heart Contraction (GO:0008016),3/49,19/1677,0.15789473684210525,5.403866809881848,3.348316939421938,0.016345522423354866,0.23864462738098105,0.22080793449093417,CACNA1C/TBX2/ATP1A2,3,Regulation of Heart Contraction
GO_Biological_Process_2023::Sodium Ion Transport (GO:0006814),GO_Biological_Process_2023::Sodium Ion Transport (GO:0006814),3/49,21/1677,0.14285714285714285,4.889212827988338,3.110634880490288,0.021534796762421704,0.30426583812711955,0.2815245077600121,SLC6A12/SLC6A1/ATP1A2,3,Sodium Ion Transport
GO_Biological_Process_2023::Cell-Cell Junction Assembly (GO:0007043),GO_Biological_Process_2023::Cell-Cell Junction Assembly (GO:0007043),3/49,22/1677,0.13636363636363635,4.666975881261595,3.002812684393575,0.024430470423980704,0.3127078055195078,0.28933550859170987,GJC1/CDH6/GJA4,3,Cell-Cell Junction Assembly
GO_Biological_Process_2023::Transport Across Blood-Brain Barrier (GO:0150104),GO_Biological_Process_2023::Transport Across Blood-Brain Barrier (GO:0150104),4/49,39/1677,0.10256410256410256,3.510204081632653,2.7510104056022255,0.024945671224961965,0.3127078055195078,0.28933550859170987,ABCC9/SLC19A1/SLC6A1/ATP1A2,4,Transport Across Blood-Brain Barrier
GO_Biological_Process_2023::Vascular Transport (GO:0010232),GO_Biological_Process_2023::Vascular Transport (GO:0010232),4/49,39/1677,0.10256410256410256,3.510204081632653,2.7510104056022255,0.024945671224961965,0.3127078055195078,0.28933550859170987,ABCC9/SLC19A1/SLC6A1/ATP1A2,4,Vascular Transport
GO_Biological_Process_2023::cAMP-mediated Signaling (GO:0019933),GO_Biological_Process_2023::cAMP-mediated Signaling (GO:0019933),2/49,9/1677,0.2222222222222222,7.605442176870747,3.446140451176428,0.026415956174022343,0.3127078055195078,0.28933550859170987,PDE7B/PDE3A,2,Camp-Mediated Signaling
GO_Biological_Process_2023::ERBB Signaling Pathway (GO:0038127),GO_Biological_Process_2023::ERBB Signaling Pathway (GO:0038127),2/49,9/1677,0.2222222222222222,7.605442176870747,3.446140451176428,0.026415956174022343,0.3127078055195078,0.28933550859170987,PLCE1/SLC30A10,2,Erbb Signaling Pathway
GO_Biological_Process_2023::Phosphatidylinositol Metabolic Process (GO:0046488),GO_Biological_Process_2023::Phosphatidylinositol Metabolic Process (GO:0046488),2/49,9/1677,0.2222222222222222,7.605442176870747,3.446140451176428,0.026415956174022343,0.3127078055195078,0.28933550859170987,PDGFRB/INPP4B,2,Phosphatidylinositol Metabolic Process
GO_Biological_Process_2023::Chemical Synaptic Transmission (GO:0007268),GO_Biological_Process_2023::Chemical Synaptic Transmission (GO:0007268),4/49,41/1677,0.0975609756097561,3.3389746142359384,2.629866081611232,0.029430800696265993,0.31546530309136495,0.29188690624891983,PDE7B/GRM3/SLC6A1/SLC12A7,4,Chemical Synaptic Transmission
GO_Biological_Process_2023::Action Potential (GO:0001508),GO_Biological_Process_2023::Action Potential (GO:0001508),2/49,10/1677,0.2,6.844897959183674,3.2152665368080102,0.03241081881075668,0.31546530309136495,0.29188690624891983,DMD/GPER1,2,Action Potential
