"orig.ident","Group","celltype","cells","prop"
"D1_AD16","AD","Microglia",52,0.063030303030303
"D1_AD16","AD","Oligodendrocytes",253,0.306666666666667
"D1_AD16","AD","OPCs",35,0.0424242424242424
"D1_AD17","AD","Astrocytes",87,0.0878787878787879
"D1_AD17","AD","Cerebrovascular cells",45,0.0454545454545455
"D1_AD17","AD","Excitatory",371,0.374747474747475
"D1_AD17","AD","Inhibitory",100,0.101010101010101
"D1_AD17","AD","Microglia",52,0.0525252525252525
"D1_AD17","AD","Oligodendrocytes",300,0.303030303030303
"D1_AD17","AD","OPCs",35,0.0353535353535354
"D1_AD18","AD","Astrocytes",35,0.087719298245614
"D1_AD18","AD","Cerebrovascular cells",54,0.135338345864662
"D1_AD18","AD","Excitatory",89,0.223057644110276
"D1_AD18","AD","Inhibitory",16,0.0401002506265664
"D1_AD18","AD","Microglia",24,0.0601503759398496
"D1_AD18","AD","Oligodendrocytes",165,0.413533834586466
"D1_AD18","AD","OPCs",16,0.0401002506265664
"D1_AD19","AD","Astrocytes",45,0.0669642857142857
"D1_AD19","AD","Cerebrovascular cells",27,0.0401785714285714
"D1_AD19","AD","Excitatory",196,0.291666666666667
"D1_AD19","AD","Inhibitory",40,0.0595238095238095
"D1_AD19","AD","Microglia",29,0.0431547619047619
"D1_AD19","AD","Oligodendrocytes",321,0.477678571428571
"D1_AD19","AD","OPCs",14,0.0208333333333333
"D1_AD2","AD","Astrocytes",28,0.0312849162011173
"D1_AD2","AD","Cerebrovascular cells",20,0.0223463687150838
"D1_AD2","AD","Excitatory",236,0.263687150837989
"D1_AD2","AD","Inhibitory",32,0.0357541899441341
"D1_AD2","AD","Microglia",20,0.0223463687150838
"D1_AD2","AD","Oligodendrocytes",538,0.601117318435754
"D1_AD2","AD","OPCs",21,0.023463687150838
"D1_AD20","AD","Astrocytes",56,0.0921052631578947
"D1_AD20","AD","Cerebrovascular cells",72,0.118421052631579
"D1_AD20","AD","Excitatory",173,0.284539473684211
"D1_AD20","AD","Inhibitory",56,0.0921052631578947
"D1_AD20","AD","Microglia",43,0.0707236842105263
"D1_AD20","AD","Oligodendrocytes",173,0.284539473684211
"D1_AD20","AD","OPCs",35,0.0575657894736842
"D1_AD21","AD","Astrocytes",52,0.0811232449297972
"D1_AD21","AD","Cerebrovascular cells",14,0.0218408736349454
"D1_AD21","AD","Excitatory",193,0.301092043681747
"D1_AD21","AD","Inhibitory",57,0.0889235569422777
"D1_AD21","AD","Microglia",45,0.0702028081123245
"D1_AD21","AD","Oligodendrocytes",257,0.400936037441498
"D1_AD21","AD","OPCs",23,0.0358814352574103
"D1_AD22","AD","Astrocytes",61,0.0878962536023055
"D1_AD22","AD","Cerebrovascular cells",35,0.0504322766570605
"D1_AD22","AD","Excitatory",296,0.426512968299712
"D1_AD22","AD","Inhibitory",49,0.0706051873198847
"D1_AD22","AD","Microglia",20,0.0288184438040346
"D1_AD22","AD","Oligodendrocytes",206,0.296829971181556
"D1_AD22","AD","OPCs",27,0.0389048991354467
"D1_AD23","AD","Astrocytes",42,0.0679611650485437
"D1_AD23","AD","Cerebrovascular cells",43,0.06957928802589
"D1_AD23","AD","Excitatory",134,0.216828478964401
"D1_AD23","AD","Inhibitory",46,0.0744336569579288
"D1_AD23","AD","Microglia",29,0.0469255663430421
"D1_AD23","AD","Oligodendrocytes",299,0.483818770226537
"D1_AD23","AD","OPCs",25,0.040453074433657
"D1_AD24","AD","Astrocytes",57,0.0636160714285714
"D1_AD24","AD","Cerebrovascular cells",93,0.103794642857143
"D1_AD24","AD","Excitatory",314,0.350446428571429
"D1_AD24","AD","Inhibitory",99,0.110491071428571
"D1_AD24","AD","Microglia",57,0.0636160714285714
"D1_AD24","AD","Oligodendrocytes",240,0.267857142857143
"D1_AD24","AD","OPCs",36,0.0401785714285714
"D1_AD25","AD","Astrocytes",80,0.129449838187702
"D1_AD25","AD","Cerebrovascular cells",41,0.0663430420711974
"D1_AD25","AD","Excitatory",175,0.283171521035599
"D1_AD25","AD","Inhibitory",31,0.0501618122977346
"D1_AD25","AD","Microglia",34,0.0550161812297735
"D1_AD25","AD","Oligodendrocytes",215,0.34789644012945
"D1_AD25","AD","OPCs",42,0.0679611650485437
"D1_AD26","AD","Astrocytes",61,0.106830122591944
"D1_AD26","AD","Cerebrovascular cells",59,0.103327495621716
"D1_AD26","AD","Excitatory",109,0.190893169877408
"D1_AD26","AD","Inhibitory",19,0.0332749562171629
"D1_AD26","AD","Microglia",57,0.0998248686514886
"D1_AD26","AD","Oligodendrocytes",219,0.38353765323993
"D1_AD26","AD","OPCs",47,0.0823117338003503
"D1_AD27","AD","Astrocytes",60,0.0753768844221105
"D1_AD27","AD","Cerebrovascular cells",49,0.0615577889447236
"D1_AD27","AD","Excitatory",271,0.340452261306533
"D1_AD27","AD","Inhibitory",64,0.0804020100502513
"D1_AD27","AD","Microglia",36,0.0452261306532663
"D1_AD27","AD","Oligodendrocytes",290,0.364321608040201
"D1_AD27","AD","OPCs",26,0.0326633165829146
"D1_AD28","AD","Astrocytes",45,0.0527549824150059
"D1_AD28","AD","Cerebrovascular cells",57,0.0668229777256741
"D1_AD28","AD","Excitatory",260,0.304806565064478
"D1_AD28","AD","Inhibitory",83,0.0973036342321219
"D1_AD28","AD","Microglia",56,0.0656506447831184
"D1_AD28","AD","Oligodendrocytes",316,0.370457209847597
"D1_AD28","AD","OPCs",36,0.0422039859320047
"D1_AD29","AD","Astrocytes",6,0.0295566502463054
"D1_AD29","AD","Cerebrovascular cells",2,0.00985221674876847
"D1_AD29","AD","Excitatory",19,0.0935960591133005
"D1_AD29","AD","Inhibitory",4,0.0197044334975369
"D1_AD29","AD","Microglia",9,0.0443349753694581
"D1_AD29","AD","Oligodendrocytes",135,0.665024630541872
"D1_AD29","AD","OPCs",28,0.137931034482759
"D1_AD3","AD","Astrocytes",43,0.0892116182572614
"D1_AD3","AD","Cerebrovascular cells",28,0.0580912863070539
"D1_AD3","AD","Excitatory",72,0.149377593360996
"D1_AD3","AD","Inhibitory",44,0.0912863070539419
"D1_AD3","AD","Microglia",35,0.0726141078838174
"D1_AD3","AD","Oligodendrocytes",237,0.491701244813278
"D1_AD3","AD","OPCs",23,0.0477178423236514
"D1_AD4","AD","Astrocytes",14,0.018111254851229
"D1_AD4","AD","Cerebrovascular cells",21,0.0271668822768435
"D1_AD4","AD","Excitatory",233,0.301423027166882
"D1_AD4","AD","Inhibitory",56,0.0724450194049159
"D1_AD4","AD","Microglia",29,0.03751617076326
"D1_AD4","AD","Oligodendrocytes",397,0.513583441138422
"D1_AD4","AD","OPCs",23,0.0297542043984476
"D1_AD5","AD","Astrocytes",38,0.0473225404732254
"D1_AD5","AD","Cerebrovascular cells",31,0.0386052303860523
"D1_AD5","AD","Excitatory",203,0.25280199252802
"D1_AD5","AD","Inhibitory",56,0.0697384806973848
"D1_AD5","AD","Microglia",37,0.0460772104607721
"D1_AD5","AD","Oligodendrocytes",409,0.5093399750934
"D1_AD5","AD","OPCs",29,0.0361145703611457
"D1_AD6","AD","Astrocytes",80,0.104575163398693
"D1_AD6","AD","Cerebrovascular cells",45,0.0588235294117647
"D1_AD6","AD","Excitatory",75,0.0980392156862745
"D1_AD6","AD","Inhibitory",14,0.0183006535947712
"D1_AD6","AD","Microglia",72,0.0941176470588235
"D1_AD6","AD","Oligodendrocytes",432,0.564705882352941
"D1_AD6","AD","OPCs",47,0.061437908496732
"D1_AD7","AD","Astrocytes",58,0.058
"D1_AD7","AD","Cerebrovascular cells",2,0.002
"D1_AD7","AD","Excitatory",265,0.265
"D1_AD7","AD","Inhibitory",70,0.07
"D1_AD7","AD","Microglia",33,0.033
"D1_AD7","AD","Oligodendrocytes",542,0.542
"D1_AD7","AD","OPCs",30,0.03
"D1_AD8","AD","Astrocytes",42,0.0512820512820513
"D1_AD8","AD","Cerebrovascular cells",62,0.0757020757020757
"D1_AD8","AD","Excitatory",217,0.264957264957265
"D1_AD8","AD","Inhibitory",82,0.1001221001221
"D1_AD8","AD","Microglia",58,0.0708180708180708
"D1_AD8","AD","Oligodendrocytes",335,0.409035409035409
"D1_AD8","AD","OPCs",23,0.0280830280830281
"D1_AD9","AD","Astrocytes",38,0.0619902120717781
"D1_AD9","AD","Cerebrovascular cells",17,0.0277324632952692
"D1_AD9","AD","Excitatory",200,0.32626427406199
"D1_AD9","AD","Inhibitory",62,0.101141924959217
"D1_AD9","AD","Microglia",27,0.0440456769983687
"D1_AD9","AD","Oligodendrocytes",229,0.373572593800979
"D1_AD9","AD","OPCs",40,0.065252854812398
"D2_NC1","CN","Astrocytes",32,0.0528052805280528
"D2_NC1","CN","Cerebrovascular cells",35,0.0577557755775578
"D2_NC1","CN","Excitatory",100,0.165016501650165
"D2_NC1","CN","Inhibitory",59,0.0973597359735974
"D2_NC1","CN","Microglia",25,0.0412541254125413
"D2_NC1","CN","Oligodendrocytes",313,0.516501650165016
"D2_NC1","CN","OPCs",42,0.0693069306930693
"D2_NC2","CN","Astrocytes",206,0.19379115710254
"D2_NC2","CN","Cerebrovascular cells",76,0.0714957666980245
"D2_NC2","CN","Excitatory",313,0.29444967074318
"D2_NC2","CN","Inhibitory",158,0.148635936030103
"D2_NC2","CN","Microglia",39,0.0366886171213547
"D2_NC2","CN","Oligodendrocytes",178,0.167450611476952
"D2_NC2","CN","OPCs",93,0.0874882408278457
"D2_NC3","CN","Astrocytes",10,0.0699300699300699
"D2_NC3","CN","Cerebrovascular cells",26,0.181818181818182
"D2_NC3","CN","Excitatory",57,0.398601398601399
"D2_NC3","CN","Inhibitory",20,0.13986013986014
"D2_NC3","CN","Microglia",2,0.013986013986014
"D2_NC3","CN","Oligodendrocytes",17,0.118881118881119
"D2_NC3","CN","OPCs",11,0.0769230769230769
"D2_NC4","CN","Astrocytes",99,0.127906976744186
"D2_NC4","CN","Cerebrovascular cells",247,0.319121447028424
"D2_NC4","CN","Excitatory",129,0.166666666666667
"D2_NC4","CN","Inhibitory",76,0.0981912144702842
"D2_NC4","CN","Microglia",37,0.0478036175710594
"D2_NC4","CN","Oligodendrocytes",138,0.178294573643411
"D2_NC4","CN","OPCs",48,0.062015503875969
"D2_NC5","CN","Astrocytes",138,0.11734693877551
"D2_NC5","CN","Cerebrovascular cells",141,0.119897959183673
"D2_NC5","CN","Excitatory",475,0.40391156462585
