"logFC","AveExpr","t","P.Value","adj.P.Val","B","probe_id","symbol","neg_log10_fdr","category"
0.369345490011676,7.39906793142051,8.80056876149272,7.38430271235113e-16,2.20044981315601e-13,25.4914991982997,"ILMN_1790518","JADE3",12.6574885321762,"NS"
0.407250660554702,9.76194693862051,8.78404993370011,8.20363505686349e-16,2.39759122647467e-13,25.3889798428758,"ILMN_1800164","PPFIA1",12.6202248592769,"NS"
0.363757263467178,10.0566595861179,8.78514361533912,8.14670345554601e-16,2.39759122647467e-13,25.3957649580964,"ILMN_2364376","ILK",12.6202248592769,"NS"
-0.307430560967915,7.15527856711795,-8.77867660141514,8.4891323359853e-16,2.42168370318581e-13,25.3556492819733,"ILMN_1725666","GTF2H3",12.6158825808178,"NS"
0.297992991747528,7.51771858478974,8.77927255999233,8.45698759603465e-16,2.42168370318581e-13,25.3593455647356,"ILMN_1685580","CBLB",12.6158825808178,"NS"
-0.277584601914265,7.23105692974872,-8.77801257284907,8.52509150323677e-16,2.42168370318581e-13,25.3515309369375,"ILMN_2398039","TCERG1",12.6158825808178,"NS"
0.563422050740795,8.46729415630256,8.75326916266503,9.97845120420774e-16,2.80828726251754e-13,25.198164729595,"ILMN_1677376","CHD7",12.5515584698523,"NS"
-0.43504489566537,7.52237638035897,-8.75122119241684,1.0109227597943e-15,2.81899057650897e-13,25.1854790855945,"ILMN_1802894","VKORC1L1",12.5499063759117,"NS"
-0.418651334086051,6.90190574356923,-8.74816642332689,1.0307462530473e-15,2.84813930557934e-13,25.1665594171388,"ILMN_1796595","C5orf22",12.545438772702,"NS"
-0.619064337328214,8.87073818095385,-8.73308697725008,1.13440011872583e-15,3.10631455933979e-13,25.0732062393573,"ILMN_1756049","NT5DC3",12.5077545677741,"Down in AD"
0.758788680804754,9.18545453546154,8.72693898778809,1.17957152695866e-15,3.17283863379722e-13,25.0351652212186,"ILMN_1789830","CFLAR",12.4985520149571,"Up in AD"
0.4785545657652,7.92579662611795,8.72288518122991,1.21032836503518e-15,3.19895049176037e-13,25.0100883272115,"ILMN_1771048","FAM133B",12.4949924811793,"NS"
0.82385298256964,7.92602924799487,8.71871102194886,1.24283017604679e-15,3.25653648283983e-13,24.984272130683,"ILMN_2135258","RAPGEF3",12.48724405208,"Up in AD"
0.442953188158847,10.2059448320821,8.70710176584599,1.33785084114484e-15,3.47555353133312e-13,24.9124994032798,"ILMN_1782247","KAT2A",12.4589760179921,"NS"
-0.603457401079318,7.2030997264359,-8.70114069836384,1.38940847551876e-15,3.57890428927056e-13,24.8756617967731,"ILMN_1763412","SPHKAP",12.4462499158032,"Down in AD"
0.541462675248369,6.86923313688205,8.69558029630914,1.43927633405265e-15,3.64556701446085e-13,24.8413099438091,"ILMN_3242330","RIPOR3",12.4382349139578,"NS"
0.356271823813802,6.89957657834872,8.6959565122872,1.43584696104592e-15,3.64556701446085e-13,24.843633887585,"ILMN_1716089","KANK2",12.4382349139578,"NS"
0.576933057655901,7.88528476591795,8.68932443188525,1.49750740188006e-15,3.76171384133426e-13,24.8026728458643,"ILMN_1677432","SRGAP1",12.4246142448984,"NS"
0.438670086065433,7.89382945028718,8.68393493142174,1.54954503886675e-15,3.86052634888154e-13,24.7693961288209,"ILMN_1714438","MUTYH",12.4133534790508,"NS"
0.385690659308226,7.22954162114359,8.67797702387723,1.60916128499522e-15,3.97645993962844e-13,24.7326202150126,"ILMN_1657373","P3H2",12.4005033884372,"NS"
0.331717602305912,7.99262107187179,8.67318569056926,1.65875133472059e-15,4.06594732409937e-13,24.7030530228472,"ILMN_1676302","PCED1A",12.3908382521124,"NS"
0.42864670655628,7.96190590311795,8.6626353137129,1.77335755741924e-15,4.31209623662063e-13,24.6379717999402,"ILMN_1651378","AUP1",12.3653115552038,"NS"
0.628061590349042,10.4181600136974,8.65627410284266,1.84621977964831e-15,4.45363890495321e-13,24.5987485007051,"ILMN_1812721","HIP1R",12.3512849978865,"Up in AD"
0.444358491470966,6.90123818467179,8.64949224061722,1.9271740559753e-15,4.61231932530466e-13,24.5569452184881,"ILMN_3230337","PAXIP1-AS2",12.33608063277,"NS"
0.26995962131822,8.90461771336923,8.6356222862749,2.10386802072147e-15,4.9958647257679e-13,24.4714953843536,"ILMN_1745954","CORO1C",12.301389329635,"NS"
0.333820758692089,6.85672502481538,8.60956961304671,2.48033030979381e-15,5.84415812140952e-13,24.31115208035,"ILMN_1710954","FBXL19-AS1",12.2332780421685,"NS"
-0.641692102472965,9.25196719125128,-8.60185696775153,2.60409154067544e-15,6.08856633683308e-13,24.2637246360612,"ILMN_1736054","SUB1",12.2154849578271,"Down in AD"
0.345570001154744,8.43960412166154,8.59614438964502,2.69969040426395e-15,6.26389998760325e-13,24.2286082433133,"ILMN_1803997","SDCCAG3",12.2031551850463,"NS"
0.25724347276194,7.97029979564103,8.59366175263399,2.74231472654589e-15,6.3145951601032e-13,24.2133501562043,"ILMN_1695362","ZNF32",12.1996544876057,"NS"
-0.895501602851778,10.6699367259077,-8.58127016992722,2.96525661438597e-15,6.51544539856382e-13,24.1372214715295,"ILMN_2352036","RTN4",12.1860558903847,"Down in AD"
-0.827029092789607,9.59903598043077,-8.58050533353396,2.97959174338007e-15,6.51544539856382e-13,24.1325242223624,"ILMN_1805807","SLC30A3",12.1860558903847,"Down in AD"
0.745440411731432,8.21960308414359,8.58411680255059,2.91250163400673e-15,6.51544539856382e-13,24.1547057103158,"ILMN_1682034","HEY2",12.1860558903847,"Up in AD"
0.497038359880707,8.4541572240359,8.58457033197923,2.9041830733953e-15,6.51544539856382e-13,24.1574915591451,"ILMN_1815086","NINJ1",12.1860558903847,"NS"
0.485776606934883,9.48602704310769,8.58652811939522,2.86854334389906e-15,6.51544539856382e-13,24.1695182031263,"ILMN_1713636","S100A6",12.1860558903847,"NS"
-0.39024479373238,11.2614076187692,-8.5824707199266,2.94289290034895e-15,6.51544539856382e-13,24.1445950314742,"ILMN_1724658","BNIP3",12.1860558903847,"NS"
0.181175763677572,6.55896806432308,8.58244350383304,2.94339802017201e-15,6.51544539856382e-13,24.1444278701395,"ILMN_2084059","SLC12A4",12.1860558903847,"NS"
0.308512468795077,6.91591063990769,8.56986170375876,3.1863665525614e-15,6.91782938322171e-13,24.0671754461464,"ILMN_3269719","ARAP1",12.160030153342,"NS"
0.53305538623522,9.40936734625128,8.56858739225716,3.21205795753866e-15,6.9241490510204e-13,24.0593539459116,"ILMN_2224833","ADIPOR2",12.1596335919609,"NS"
0.815509706865559,9.48064416886154,8.55570323931033,3.48364043813907e-15,7.40456301519141e-13,23.9803021715515,"ILMN_1757552","CAVIN1",12.1305005665406,"Up in AD"
-0.364421710414476,12.0250751592308,-8.55640355962198,3.46830984483412e-15,7.40456301519141e-13,23.984597690908,"ILMN_1718136","UQCRHL",12.1305005665406,"NS"
0.878024842258152,8.07540565342051,8.55218355736849,3.56171308568648e-15,7.51793536385003e-13,23.9587160352273,"ILMN_1736178","AEBP1",12.1239014124934,"Up in AD"
0.638764686412476,7.72861922504615,8.53766280715716,3.90258407801489e-15,8.18062365870777e-13,23.8697022569176,"ILMN_1805192","ITPRIP",12.0872135861562,"Up in AD"
0.540124548228592,8.07029261754872,8.52846504826955,4.1350418999555e-15,8.60853414720189e-13,23.8133537943773,"ILMN_1753312","PLXDC2",12.0650707934917,"NS"
0.674510975771302,7.83052555637949,8.5253143625689,4.2177874907092e-15,8.72106467891879e-13,23.7940578907447,"ILMN_1852022","PLIN4",12.0594304925956,"Up in AD"
0.47336205695971,7.41591478570769,8.5143766777001,4.51799533937438e-15,9.27868029326245e-13,23.7270963702696,"ILMN_1806733","COL18A1",12.0325137890948,"NS"
-0.593750819587208,9.38947818724615,-8.505344427003,4.78181041311167e-15,9.68954183376861e-13,23.6718290636828,"ILMN_1678546","PEX11B",12.0136967579101,"Down in AD"
0.236918190723648,7.03368957701538,8.50624964462529,4.75469614530491e-15,9.68954183376861e-13,23.6773668029086,"ILMN_1687743","BTBD7",12.0136967579101,"NS"
0.558832727614138,10.2315323349487,8.49610478251615,5.06749294971811e-15,1.02004270335551e-12,23.6153199263844,"ILMN_1662963","PSD2",11.9913816464308,"NS"
-1.18340208435872,8.26370301734359,-8.49075417352202,5.24060380137221e-15,1.03911953591983e-12,23.5826085073094,"ILMN_2081813","PCSK1",11.9833344901673,"Down in AD"
