name,distance,Z,FC,p.adj,neglog10_fdr,sig_dr,x,y,degree_scaled,node_size,T1,T2,T3,T4,T5,n_terms
GRM3,4.350090361342804e-7,2.152950920955203,26.209658666023568,3.403186045765424e-5,4.4681143081946075,TRUE,-0.9172767852748145,1.2004051058173506,0,8,0.5,0.5,0,0,0,2
CLMN,4.3349538710410147e-7,2.15088268778677,26.027578756049216,3.5428938929739405e-5,4.450641854267432,TRUE,-0.11353248689442674,0.4474534273476147,0,8,0,0,0,0,0,0
COL4A3,4.284760396556377e-7,2.1439786372587797,25.42833304061407,4.591252507094163e-5,4.33806882149623,TRUE,-1.7106962588502799,-1.239784675238015,0,8,0,0,0,0,0,0
CACNA1C,4.139731735860142e-7,2.123623408366316,23.736091414068888,1.0522949025045824e-4,3.977862533392821,TRUE,-2.269449210411853,-0.16335577500079357,0,8,0,0,0.5,0.5,0,2
LZTS1,4.114114447762021e-7,2.1199630542488275,23.443235275243644,1.1695847411835084e-4,3.9319683063087782,TRUE,-1.2523143687008875,1.2685091890869062,0,8,0,0,0,0,0,0
TRPC3,3.972644092212562e-7,2.0993810345798987,21.85868972109,2.552039136991314e-4,3.5931126697435727,TRUE,-0.5286779684070464,1.0791726211432842,0,8,0.25,0.25,0.25,0.25,0,4
SLC30A10,3.8621165898479523e-7,2.082848104020683,20.65929840586718,4.430843730964516e-4,3.353513566595914,TRUE,-2.3494863119837963,-0.7337681610137637,0,8,0,0,0.5,0.5,0,2
ISYNA1,3.860442782763839e-7,2.0825945557863093,20.641395172778836,4.430843730964516e-4,3.353513566595914,TRUE,-1.757746367077112,-0.9078195923608369,0,8,0,0,0,0,0,0
COL4A4,3.813509357024343e-7,2.0754454916702767,20.14254956827533,5.477596359791125e-4,3.2614099737567654,TRUE,-0.7696308432777414,0.842951270152569,0,8,0,0,0,0,0,0
ABCC9,3.805228644032792e-7,2.0741761357488637,20.055168856162748,5.477596359791125e-4,3.2614099737567654,TRUE,-0.32926425974162465,0.03136163117790134,0,8,0,0,0.5,0.5,0,2
SGIP1,3.801772464315374e-7,2.073645618299074,20.01875433486406,5.477596359791125e-4,3.2614099737567654,TRUE,-0.9482570320868287,0.4889554245755853,0,8,0,0,0,0,0,0
P2RY14,3.786304356879178e-7,2.0712660911687397,19.856186842286565,5.758074139847644e-4,3.2397227475302834,TRUE,-0.9007939434254228,-0.7124271761236924,0,8,0.5,0.5,0,0,0,2
LRRN2,3.775501342607489e-7,2.0695991493476384,19.743041866924106,5.905574638971855e-4,3.22873783718808,TRUE,-1.6121658276396678,1.2661592618824686,0,8,0,0,0,0,0,0
