receiver_context,ligand_clean,ligand,n_lr_edges,max_delta_AD_vs_CN,mean_delta_AD_vs_CN,source_families,target_families,source_cellstates,target_cellstates,receptor_examples,lr_pair_examples,receptor_supported_by_nichenet
Cerebrovascular cells,TNC,TNC,41,1.34132257027205,0.5321653386122377,Astrocyte,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CNTN1;EGFR;ITGA2;ITGA5;ITGA7,TNC - CNTN1;TNC - EGFR;TNC - ITGA2;TNC - ITGA5;TNC - ITGA7,TRUE
Cerebrovascular cells,EFNA5,EFNA5,35,1.32909560485054,0.2345438714687855,Astrocyte;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Cerebrovascular_Pericyte,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,EPHA2;EPHA3;EPHA4;EPHA5;EPHA7,EFNA5 - EPHA2;EFNA5 - EPHA3;EFNA5 - EPHA4;EFNA5 - EPHA5;EFNA5 - EPHA7,TRUE
Cerebrovascular cells,PDGFC,PDGFC,49,1.30913336828501,0.4466987645866891,Astrocyte;Microglia;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,FLT1;FLT4;KDR;PDGFRA;PDGFRB,PDGFC - FLT1;PDGFC - FLT4;PDGFC - KDR;PDGFC - PDGFRA;PDGFC - PDGFRB,TRUE
Cerebrovascular cells,AIMP1,AIMP1,8,1.30273152617716,0.469620488579216,Astrocyte;Microglia;Vascular,Vascular,Astro_Intermediate;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM;Micro_Homeostatic,Cerebrovascular_Venous,NTRK1,AIMP1 - NTRK1,TRUE
Cerebrovascular cells,LAMB2,LAMB2,114,1.29454491380827,0.29330494955528913,Astrocyte;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CD44;DAG1;ITGA2_ITGB1;ITGA3_ITGB1;ITGA6_ITGB1,LAMB2 - CD44;LAMB2 - DAG1;LAMB2 - ITGA2/ITGB1;LAMB2 - ITGA3/ITGB1;LAMB2 - ITGA6/ITGB1,TRUE
Cerebrovascular cells,S100A4,S100A4,5,1.2861725442161,1.0507488384717272,Vascular,Vascular,Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,EGFR,S100A4 - EGFR,TRUE
Cerebrovascular cells,ANGPT1,ANGPT1,59,1.281427706197701,0.5171510596053551,Astrocyte;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ITGA5;ITGB1;TEK;TIE1,ANGPT1 - ITGA5;ANGPT1 - ITGB1;ANGPT1 - TEK;ANGPT1 - TIE1,TRUE
Cerebrovascular cells,SPP1,SPP1,34,1.2684544987123498,0.318228984770117,Astrocyte;Microglia;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;CapEC_ActLow;CapEC_ActMid;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CD44;ITGA4_ITGB1;ITGA5_ITGB1;ITGA8_ITGB1;ITGA9_ITGB1,SPP1 - CD44;SPP1 - ITGA4/ITGB1;SPP1 - ITGA5/ITGB1;SPP1 - ITGA8/ITGB1;SPP1 - ITGA9/ITGB1,TRUE
Cerebrovascular cells,GPI,GPI,16,1.2661828753612467,0.1858040346569735,Astrocyte;Microglia;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;CapEC_ActHigh;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM,CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,AMFR;NTRK1,GPI - AMFR;GPI - NTRK1,TRUE
Cerebrovascular cells,PTGS2,PTGS2,5,1.26247426568272,0.7002342872429353,Vascular,Vascular,Cerebrovascular_Pericyte,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,CAV1;PTGDR2,PTGS2 - CAV1;PTGS2 - PTGDR2,TRUE
