source,target,mean_strength_AD,n_lr_AD,mean_strength_CN,n_lr_CN,delta_AD_vs_CN,source_n_AD,source_n_CN,target_n_AD,target_n_CN,min_group_cell_count,source_family,target_family
CapEC_ActLow,Micro_DAM,0.402470535098062,343.0,0.420998340067021,333,-0.018527804968959005,129,129,10413,8260,129,Vascular,Microglia
CapEC_ActLow,Micro_Homeostatic,0.391758902580243,341.0,0.466250901541492,325,-0.07449199896124903,129,129,2452,2998,129,Vascular,Microglia
CapEC_ActLow,OPCs,0.355987584969109,382.0,0.398084167073123,395,-0.04209658210401401,129,129,9583,11259,129,Vascular,Oligo/OPC
CapEC_ActLow,Oligodendrocytes,0.249559877080509,257.0,0.2937603328092,263,-0.044200455728690996,129,129,80232,64998,129,Vascular,Oligo/OPC
CapEC_ActMid,Astro_Homeostatic,0.484700507584006,545.0,0.650126546652345,571,-0.16542603906833903,154,112,7441,10219,112,Vascular,Astrocyte
CapEC_ActMid,Astro_Intermediate,0.487189176541094,535.0,0.68809934520204,554,-0.20091016866094596,154,112,5602,5852,112,Vascular,Astrocyte
CapEC_ActMid,Astro_Reactive,0.525627158347733,564.0,0.697096342907812,573,-0.17146918456007898,154,112,1387,1200,112,Vascular,Astrocyte
CapEC_ActMid,CapEC_ActHigh,0.753841475100888,415.0,0.94364079383172,438,-0.189799318730832,154,112,134,124,112,Vascular,Vascular
CapEC_ActMid,CapEC_ActLow,0.591670932203041,369.0,0.723931844713623,367,-0.13226091251058203,154,112,129,129,112,Vascular,Vascular
CapEC_ActMid,CapEC_ActMid,0.706413944185966,390.0,0.829315831000475,411,-0.12290188681450898,154,112,154,112,112,Vascular,Vascular
CapEC_ActMid,Cerebrovascular_Pericyte,0.522308150003269,657.0,0.6582385504959,653,-0.13593040049263094,154,112,516,449,112,Vascular,Vascular
CapEC_ActMid,Cerebrovascular_Venous,0.375313729325796,524.0,0.482973271719141,552,-0.10765954239334502,154,112,328,317,112,Vascular,Vascular
CapEC_ActMid,Excitatory,0.332913698851492,523.0,0.455846576603265,540,-0.12293287775177297,154,112,62331,65392,112,Vascular,Neuron
CapEC_ActMid,Inhibitory,0.308968798442244,498.0,0.417691202015588,513,-0.108722403573344,154,112,18727,18751,112,Vascular,Neuron
CapEC_ActMid,Micro_DAM,0.521575588743934,373.0,0.638412222158437,387,-0.11683663341450301,154,112,10413,8260,112,Vascular,Microglia
CapEC_ActMid,Micro_Homeostatic,0.494054744602663,372.0,0.685423403991893,381,-0.19136865938923003,154,112,2452,2998,112,Vascular,Microglia
