test_ligand,auroc,aupr,aupr_corrected,pearson,receiver_context,ligand_clean,n_receiver_genes,n_background_genes,n_potential_ligands,ligand,n_lr_edges,max_delta_AD_vs_CN,mean_delta_AD_vs_CN,source_families,target_families,source_cellstates,target_cellstates,receptor_examples,lr_pair_examples,receptor_supported_by_nichenet,activity_rank_within_receiver
HGF,0.5729839848919677,0.03860907285063698,0.014094647053918139,0.05572270123142437,Cerebrovascular cells,HGF,130,5303,282,HGF,49,1.8289244916678904,0.5287612385950244,Astrocyte;Microglia;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Cerebrovascular_Pericyte;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CD44;ITGB1;NRP1;SDC2,HGF - CD44;HGF - ITGB1;HGF - NRP1;HGF - SDC2,TRUE,14
LGALS1,0.5713348897381346,0.03604748300725464,0.0115330572105358,0.055158775208044186,Cerebrovascular cells,LGALS1,130,5303,282,LGALS1,15,0.5310699799375698,0.20048215154830723,Astrocyte;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ITGB1;PTPRC,LGALS1 - ITGB1;LGALS1 - PTPRC,TRUE,15
TIMP1,0.5833201980698592,0.03752342089421115,0.013008995097492312,0.05514405104948696,Cerebrovascular cells,TIMP1,130,5303,282,TIMP1,16,1.0935837542299411,0.4880161680875597,Vascular,Vascular,CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CD63;FGFR2,TIMP1 - CD63;TIMP1 - FGFR2,TRUE,16
TNFSF10,0.5652113786078591,0.039451236770952226,0.014936810974233387,0.05465794240518533,Cerebrovascular cells,TNFSF10,130,5303,282,TNFSF10,56,0.707989708831824,0.2674125260938032,Microglia;Vascular,Vascular,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Micro_DAM,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,RIPK1;TNFRSF10A;TNFRSF10B;TNFRSF10D,TNFSF10 - RIPK1;TNFSF10 - TNFRSF10A;TNFSF10 - TNFRSF10B;TNFSF10 - TNFRSF10D,TRUE,17
JAM2,0.5890630343945643,0.03645724745065242,0.011942821653933584,0.05398759323104328,Cerebrovascular cells,JAM2,130,5303,282,JAM2,53,0.586836872446,0.26638582159463603,Astrocyte;Microglia;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ITGA3_ITGB1;ITGA4_ITGB1;ITGAV_ITGB1,JAM2 - ITGA3/ITGB1;JAM2 - ITGA4/ITGB1;JAM2 - ITGAV/ITGB1,TRUE,18
TGFB1,0.5890303201534576,0.035315412335337935,0.010800986538619096,0.0525827260875675,Cerebrovascular cells,TGFB1,130,5303,282,TGFB1,319,2.87124744157456,0.3295937683192085,Astrocyte;Microglia;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ACVR1_TGFBR1_TGFBR2;ACVR1_TGFBR2;ACVR1B_TGFBR2;ACVR1C_TGFBR2;ACVRL1,TGFB1 - ACVR1/TGFBR1/TGFBR2;TGFB1 - ACVR1/TGFBR2;TGFB1 - ACVR1B/TGFBR2;TGFB1 - ACVR1C/TGFBR2;TGFB1 - ACVRL1,TRUE,19
CD59,0.5561673779535731,0.035745264136863616,0.011230838340144777,0.052304224570262105,Cerebrovascular cells,CD59,130,5303,282,CD59,2,0.0545409078160651,0.03597861121156895,Vascular,Vascular,CapEC_ActHigh,CapEC_ActMid;Cerebrovascular_Pericyte,STAB1,CD59 - STAB1,TRUE,20
PDGFC,0.5711133251052052,0.03988173630252739,0.015367310505808553,0.051733520000678414,Cerebrovascular cells,PDGFC,130,5303,282,PDGFC,49,1.30913336828501,0.4466987645866891,Astrocyte;Microglia;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,FLT1;FLT4;KDR;PDGFRA;PDGFRB,PDGFC - FLT1;PDGFC - FLT4;PDGFC - KDR;PDGFC - PDGFRA;PDGFC - PDGFRB,TRUE,21
NECTIN3,0.5670285060000887,0.03586280304665814,0.011348377249939302,0.05123633848839087,Cerebrovascular cells,NECTIN3,130,5303,282,NECTIN3,36,1.144108288129718,0.3343725354266563,Astrocyte;Microglia;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,NECTIN2;PVR,NECTIN3 - NECTIN2;NECTIN3 - PVR,TRUE,22
ANGPT1,0.5747683980430924,0.040247890483438645,0.015733464686719805,0.051015374736025396,Cerebrovascular cells,ANGPT1,130,5303,282,ANGPT1,59,1.281427706197701,0.5171510596053551,Astrocyte;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ITGA5;ITGB1;TEK;TIE1,ANGPT1 - ITGA5;ANGPT1 - ITGB1;ANGPT1 - TEK;ANGPT1 - TIE1,TRUE,23
HLA-A,0.57232523903701,0.037119460145999726,0.012605034349280887,0.05098043847014054,Cerebrovascular cells,HLA-A,130,5303,282,HLA-A,19,0.6164309666926,0.2160271956761048,Microglia;Vascular,Vascular,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,APLP2;ERBB2,HLA-A - APLP2;HLA-A - ERBB2,TRUE,24
FGF13,0.5744635607964423,0.037315802961231645,0.012801377164512805,0.05093843257385196,Cerebrovascular cells,FGF13,130,5303,282,FGF13,13,1.46245725057848,0.324022879483771,Vascular,Vascular,Cerebrovascular_Venous,CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,EGFR;FGFR1;FGFR2;SCN5A;SCN8A,FGF13 - EGFR;FGF13 - FGFR1;FGF13 - FGFR2;FGF13 - SCN5A;FGF13 - SCN8A,TRUE,25
TFPI,0.5592038543324052,0.03519689738097199,0.010682471584253148,0.049683314610060765,Cerebrovascular cells,TFPI,130,5303,282,TFPI,6,1.04864871622131,0.3716235029396179,Vascular,Vascular,Cerebrovascular_Pericyte;Cerebrovascular_Venous,Cerebrovascular_Pericyte;Cerebrovascular_Venous,F3;SDC4,TFPI - F3;TFPI - SDC4,TRUE,26
BMP2,0.567615875329,0.03499332851778996,0.010478902721071121,0.04868647336878568,Cerebrovascular cells,BMP2,130,5303,282,BMP2,19,0.675236864492511,0.2997965714886456,Vascular,Vascular,Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ACTR2;ACVR1;ACVR2A_BMPR1A;ACVR2B_BMPR1A;BMPR1A_BMPR2,BMP2 - ACTR2;BMP2 - ACVR1;BMP2 - ACVR2A/BMPR1A;BMP2 - ACVR2B/BMPR1A;BMP2 - BMPR1A/BMPR2,TRUE,27
FN1,0.5532409403857286,0.03464220339459002,0.010127777597871177,0.04826834850392914,Cerebrovascular cells,FN1,130,5303,282,FN1,149,2.00214767065335,0.4233108734866856,Astrocyte;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,C5AR1;CD44;FLT4;IL17RC;ITGA2,FN1 - C5AR1;FN1 - CD44;FN1 - FLT4;FN1 - IL17RC;FN1 - ITGA2,TRUE,28
LGALS9,0.5792561971181722,0.03530160223854831,0.010787176441829468,0.04794745700703071,Cerebrovascular cells,LGALS9,130,5303,282,LGALS9,26,0.88263602230038,0.28383783591905437,Microglia;Vascular,Vascular,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CD44;CD47;COLEC12;HAVCR2;LRP1,LGALS9 - CD44;LGALS9 - CD47;LGALS9 - COLEC12;LGALS9 - HAVCR2;LGALS9 - LRP1,TRUE,29
NRG3,0.5669690255617167,0.03524481240914314,0.010730386612424304,0.047282622415085844,Cerebrovascular cells,NRG3,130,5303,282,NRG3,9,1.2532681910175698,0.5632663211579534,Astrocyte,Vascular,Astro_Homeostatic;Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,EGFR;ERBB2_ERBB4,NRG3 - EGFR;NRG3 - ERBB2/ERBB4,TRUE,30
FGF20,0.5720293238561173,0.03481396246456445,0.010299536667845614,0.04709946892528292,Cerebrovascular cells,FGF20,130,5303,282,FGF20,1,0.297517526117547,0.297517526117547,Microglia,Vascular,Micro_DAM,CapEC_ActLow,FGFR1,FGF20 - FGFR1,TRUE,31
CD38,0.5527844280212332,0.036309294341908674,0.011794868545189834,0.04691728386324003,Cerebrovascular cells,CD38,130,5303,282,CD38,5,0.4399978289548821,0.3297610864940364,Astrocyte;Vascular,Vascular,Astro_Intermediate;Cerebrovascular_Pericyte,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,PECAM1,CD38 - PECAM1,TRUE,32
FGF11,0.5713036625079921,0.034956021234847076,0.010441595438128237,0.04673786043743624,Cerebrovascular cells,FGF11,130,5303,282,FGF11,3,0.16607491315388,0.13672411672502782,Astrocyte,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActLow,FGFR1,FGF11 - FGFR1,TRUE,33
BCAN,0.5671073175809278,0.03454474532173991,0.010030319525021068,0.04649199140865957,Cerebrovascular cells,BCAN,130,5303,282,BCAN,6,0.8081961251573202,0.44071869474225506,Astrocyte;Vascular,Vascular,Astro_Intermediate;Cerebrovascular_Pericyte,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,EGFR,BCAN - EGFR,TRUE,34
BGN,0.569055301937574,0.034985379105397764,0.010470953308678924,0.04617665347750681,Cerebrovascular cells,BGN,130,5303,282,BGN,13,0.850294637132855,0.3986025261045594,Vascular,Vascular,CapEC_ActHigh;CapEC_ActLow;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,LY96,BGN - LY96,FALSE,35
EFNA1,0.5693422950527132,0.03414746637289635,0.009633040576177507,0.04614556023228895,Cerebrovascular cells,EFNA1,130,5303,282,EFNA1,44,0.908641144345486,0.25330818442997033,Astrocyte;Vascular,Vascular,Astro_Intermediate;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,EPHA2;EPHA3;EPHA4;EPHA5;EPHA7,EFNA1 - EPHA2;EFNA1 - EPHA3;EFNA1 - EPHA4;EFNA1 - EPHA5;EFNA1 - EPHA7,TRUE,36
HLA-DRB5,0.5702359886392354,0.034498432293354774,0.009984006496635934,0.045519407341478926,Cerebrovascular cells,HLA-DRB5,130,5303,282,HLA-DRB5,3,0.0962810492043064,0.042840130122489585,Microglia;Vascular,Vascular,CapEC_ActHigh;Micro_DAM,Cerebrovascular_Pericyte;Cerebrovascular_Venous,CD4,HLA-DRB5 - CD4,TRUE,37
PTGS2,0.5657645466847077,0.03452883792302119,0.010014412126302347,0.045183942601932946,Cerebrovascular cells,PTGS2,130,5303,282,PTGS2,5,1.26247426568272,0.7002342872429353,Vascular,Vascular,Cerebrovascular_Pericyte,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,CAV1;PTGDR2,PTGS2 - CAV1;PTGS2 - PTGDR2,TRUE,38
EFNB1,0.5603488527710444,0.03475022255720527,0.010235796760486433,0.044722957361809104,Cerebrovascular cells,EFNB1,130,5303,282,EFNB1,16,0.464884548196336,0.2262316008247559,Vascular,Vascular,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,EPHA4;EPHB4,EFNB1 - EPHA4;EFNB1 - EPHB4,TRUE,39
LAMA5,0.566262695356063,0.03450289868413019,0.009988472887411348,0.04463400763506815,Cerebrovascular cells,LAMA5,130,5303,282,LAMA5,108,0.940516541063098,0.286651855687132,Astrocyte;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,BCAM;CD44;DAG1;ITGA2_ITGB1;ITGA3_ITGB1,LAMA5 - BCAM;LAMA5 - CD44;LAMA5 - DAG1;LAMA5 - ITGA2/ITGB1;LAMA5 - ITGA3/ITGB1,TRUE,40
COL5A1,0.5610209817246333,0.03445679945600698,0.009942373659288139,0.043923311606179585,Cerebrovascular cells,COL5A1,130,5303,282,COL5A1,39,0.99618879724783,0.3829126197355989,Astrocyte;Vascular,Vascular,Astro_Reactive;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ITGA1_ITGB1;ITGA10_ITGB1;ITGA11_ITGB1;ITGA2_ITGB1;SDC3,COL5A1 - ITGA1/ITGB1;COL5A1 - ITGA10/ITGB1;COL5A1 - ITGA11/ITGB1;COL5A1 - ITGA2/ITGB1;COL5A1 - SDC3,TRUE,41
HLA-C,0.559138425850197,0.03480031110064896,0.010285885303930122,0.04371368919582008,Cerebrovascular cells,HLA-C,130,5303,282,HLA-C,11,1.0260237338380702,0.40625159142434775,Astrocyte;Microglia;Vascular,Vascular,Astro_Intermediate;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,NOTCH4,HLA-C - NOTCH4,FALSE,42
JAM3,0.5710984549956123,0.033383192047827755,0.008868766251108915,0.04356365098366304,Cerebrovascular cells,JAM3,130,5303,282,JAM3,11,0.4604392234591519,0.1403187357601721,Astrocyte;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;CapEC_ActLow;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte,ITGB1,JAM3 - ITGB1,TRUE,43
LUM,0.565056729468094,0.03434138636239536,0.009826960565676519,0.043425909050981114,Cerebrovascular cells,LUM,130,5303,282,LUM,9,0.5346493749630299,0.3295589290091343,Vascular,Vascular,Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ITGB1,LUM - ITGB1,TRUE,44
IGFBP4,0.5862243304733141,0.031898690698166796,0.007384264901447956,0.043374859073512836,Cerebrovascular cells,IGFBP4,130,5303,282,IGFBP4,19,1.012015712133697,0.35414241026292603,Vascular,Vascular,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,LRP6,IGFBP4 - LRP6,TRUE,45
COL4A3,0.5606403069190594,0.034605534563207384,0.010091108766488544,0.04300780726248417,Cerebrovascular cells,COL4A3,130,5303,282,COL4A3,16,2.1795618348959,0.6226445431688512,Vascular,Vascular,Cerebrovascular_Pericyte,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CD44;CD47;CD93;ITGA1_ITGB1;ITGA10_ITGB1,COL4A3 - CD44;COL4A3 - CD47;COL4A3 - CD93;COL4A3 - ITGA1/ITGB1;COL4A3 - ITGA10/ITGB1,TRUE,46
LAMA3,0.5605510862615042,0.0347300454514371,0.010215619654718257,0.04294765222218957,Cerebrovascular cells,LAMA3,130,5303,282,LAMA3,49,1.018141491395038,0.4424881642000308,Astrocyte;Vascular,Vascular,Astro_Intermediate;Astro_Reactive;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CD44;DAG1;ITGA2_ITGB1;ITGA3_ITGB1;ITGA6_ITGB1,LAMA3 - CD44;LAMA3 - DAG1;LAMA3 - ITGA2/ITGB1;LAMA3 - ITGA3/ITGB1;LAMA3 - ITGA6/ITGB1,TRUE,47
ITGB2,0.5559963716932573,0.0354393226063147,0.010924896809595862,0.042860326037868754,Cerebrovascular cells,ITGB2,130,5303,282,ITGB2,5,0.12759462422415907,0.060087874506329415,Microglia,Vascular,Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,THY1,ITGB2 - THY1,TRUE,48
SERPING1,0.5663742211780077,0.033291304817708804,0.008776879020989965,0.04277202352479242,Cerebrovascular cells,SERPING1,130,5303,282,SERPING1,5,0.7617411312104099,0.3978138046035708,Vascular,Vascular,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,Cerebrovascular_Pericyte;Cerebrovascular_Venous,LRP1,SERPING1 - LRP1,TRUE,49
COL6A2,0.5619801037933623,0.0339497048361748,0.00943527903945596,0.04270550916814205,Cerebrovascular cells,COL6A2,130,5303,282,COL6A2,66,1.97804024407089,0.4783974921971252,Astrocyte;Vascular,Vascular,Astro_Intermediate;Astro_Reactive;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CD44;ITGA1_ITGB1;ITGA10_ITGB1;ITGA11_ITGB1;ITGA2_ITGB1,COL6A2 - CD44;COL6A2 - ITGA1/ITGB1;COL6A2 - ITGA10/ITGB1;COL6A2 - ITGA11/ITGB1;COL6A2 - ITGA2/ITGB1,TRUE,50
HLA-DPB1,0.5677958036550715,0.033752646577457204,0.009238220780738365,0.042690372598605385,Cerebrovascular cells,HLA-DPB1,130,5303,282,HLA-DPB1,1,0.06273623509579451,0.06273623509579451,Vascular,Vascular,Cerebrovascular_Pericyte,Cerebrovascular_Venous,CD4,HLA-DPB1 - CD4,TRUE,51
LTBP1,0.5787357432824279,0.0343953416831214,0.009880915886402563,0.042020761882075396,Cerebrovascular cells,LTBP1,130,5303,282,LTBP1,14,1.0317568617842101,0.2682741267637824,Astrocyte;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;CapEC_ActLow;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ITGB5,LTBP1 - ITGB5,TRUE,52
