test_ligand,auroc,aupr,aupr_corrected,pearson,ligand_clean,ligand,n_lr_edges,max_delta_AD_vs_CN,mean_delta_AD_vs_CN,source_families,source_cellstates,target_cellstates,lr_pair_examples
NRG3,0.5669690255617167,0.03524481240914314,0.010730386612424304,0.047282622415085844,NRG3,NRG3,9,1.2532681910175698,0.5632663211579534,Astrocyte,Astro_Homeostatic;Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,NRG3 - EGFR;NRG3 - ERBB2/ERBB4
AGT,0.570723728233877,0.03519810889824079,0.010683683101521953,0.029634434788381587,AGT,AGT,1,1.0120423352387895,1.0120423352387895,Astrocyte,Astro_Intermediate,Cerebrovascular_Pericyte,AGT - ENPEP
CD14,0.5683920950497399,0.03514702410451429,0.010632598307795452,0.03783872137496766,CD14,CD14,11,1.05720230822088,0.35125503896996446,Microglia,Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CD14 - ITGB1;CD14 - RIPK1
FGF11,0.5713036625079921,0.034956021234847076,0.010441595438128237,0.04673786043743624,FGF11,FGF11,3,0.16607491315388,0.13672411672502782,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActLow,FGF11 - FGFR1
FGF20,0.5720293238561173,0.03481396246456445,0.010299536667845614,0.04709946892528292,FGF20,FGF20,1,0.297517526117547,0.297517526117547,Microglia,Micro_DAM,CapEC_ActLow,FGF20 - FGFR1
HLA-C,0.559138425850197,0.03480031110064896,0.010285885303930122,0.04371368919582008,HLA-C,HLA-C,4,0.3958496424649,0.32217212232912024,Astrocyte;Microglia,Astro_Intermediate;Micro_DAM,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte,HLA-C - NOTCH4
CLEC11A,0.5434638433285243,0.034766444945658614,0.010252019148939775,0.03990793312074119,CLEC11A,CLEC11A,11,0.6123437620653871,0.195680104645064,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CLEC11A - ITGA10;CLEC11A - ITGA11;CLEC11A - ITGB1
LAMA3,0.5605510862615042,0.0347300454514371,0.010215619654718257,0.04294765222218957,LAMA3,LAMA3,4,0.03096694350277995,0.0181875042080742,Astrocyte,Astro_Intermediate;Astro_Reactive,CapEC_ActMid;Cerebrovascular_Venous,LAMA3 - ITGA3/ITGB1;LAMA3 - ITGA6/ITGB1;LAMA3 - ITGA9/ITGB1;LAMA3 - SDC2
HLA-DRA,0.5565331826495552,0.03469767754211691,0.01018325174539807,0.03519280665975142,HLA-DRA,HLA-DRA,2,0.2704931071304799,0.25037130790955486,Microglia,Micro_DAM,Cerebrovascular_Pericyte;Cerebrovascular_Venous,HLA-DRA - CD4
FN1,0.5532409403857286,0.03464220339459002,0.010127777597871177,0.04826834850392914,FN1,FN1,19,0.469422985166098,0.10446994800490325,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,FN1 - ITGA2;FN1 - ITGA5/ITGB1;FN1 - ITGA6;FN1 - ITGAV/ITGB1;FN1 - NT5E
BCAN,0.5671073175809278,0.03454474532173991,0.010030319525021068,0.04649199140865957,BCAN,BCAN,4,0.8081961251573202,0.6318771724284176,Astrocyte,Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,BCAN - EGFR
PTN,0.5676887388660025,0.03453377603705335,0.010019350240334509,0.036912983463417905,PTN,PTN,27,0.869111420851921,0.3728860380613745,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,PTN - NCL;PTN - PLXNB2;PTN - PTPRB;PTN - PTPRZ1;PTN - SDC2
LAMA5,0.566262695356063,0.03450289868413019,0.009988472887411348,0.04463400763506815,LAMA5,LAMA5,49,0.9196101672510502,0.26806001401524415,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,LAMA5 - BCAM;LAMA5 - CD44;LAMA5 - DAG1;LAMA5 - ITGA2/ITGB1;LAMA5 - ITGA3/ITGB1
HLA-DRB5,0.5702359886392354,0.034498432293354774,0.009984006496635934,0.045519407341478926,HLA-DRB5,HLA-DRB5,1,0.00829677250442195,0.00829677250442195,Microglia,Micro_DAM,Cerebrovascular_Venous,HLA-DRB5 - CD4
LRIG2,0.5506014959330235,0.03449807054662732,0.009983644749908479,0.040440939262496874,LRIG2,LRIG2,8,0.31739108880172995,0.15786878680767802,Astrocyte;Microglia,Astro_Homeostatic;Astro_Reactive;Micro_DAM,CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,LRIG2 - EGFR
COL5A1,0.5610209817246333,0.03445679945600698,0.009942373659288139,0.043923311606179585,COL5A1,COL5A1,15,0.99618879724783,0.39088297108977804,Astrocyte,Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL5A1 - ITGA1/ITGB1;COL5A1 - ITGA10/ITGB1;COL5A1 - ITGA11/ITGB1;COL5A1 - ITGA2/ITGB1
DKK3,0.5660976371395854,0.034410015312418524,0.009895589515699684,0.04092305923439541,DKK3,DKK3,9,1.42855512543792,0.6494330593074376,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActLow;Cerebrovascular_Pericyte;Cerebrovascular_Venous,DKK3 - KREMEN1
COL16A1,0.5666047078766946,0.0344027187268315,0.009888292930112657,0.03972010633949628,COL16A1,COL16A1,19,1.9162431729958205,0.7095338029022626,Astrocyte,Astro_Homeostatic;Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL16A1 - ITGA1/ITGB1;COL16A1 - ITGA10/ITGB1;COL16A1 - ITGA11/ITGB1;COL16A1 - ITGA2/ITGB1
LTBP1,0.5787357432824279,0.0343953416831214,0.009880915886402563,0.042020761882075396,LTBP1,LTBP1,5,1.0317568617842101,0.31881537846041164,Astrocyte,Astro_Homeostatic;Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;Cerebrovascular_Pericyte;Cerebrovascular_Venous,LTBP1 - ITGB5
SPP1,0.5638165623280628,0.03416670879902123,0.009652283002302389,0.026074744203485455,SPP1,SPP1,29,1.2684544987123498,0.3578308703764563,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,SPP1 - CD44;SPP1 - ITGA4/ITGB1;SPP1 - ITGA5/ITGB1;SPP1 - ITGA8/ITGB1;SPP1 - ITGA9/ITGB1
EFNA1,0.5693422950527132,0.03414746637289635,0.009633040576177507,0.04614556023228895,EFNA1,EFNA1,1,0.143230458520713,0.143230458520713,Astrocyte,Astro_Intermediate,CapEC_ActHigh,EFNA1 - EPHA2
COL4A6,0.5665705066246323,0.03412416949598456,0.009609743699265722,0.0401115190044461,COL4A6,COL4A6,7,0.284417456156848,0.10091514603772275,Astrocyte,Astro_Reactive,CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL4A6 - CD93;COL4A6 - ITGA2/ITGB1;COL4A6 - ITGA3/ITGB1;COL4A6 - ITGA9/ITGB1
SERPINE2,0.5687742568662694,0.034120411322823424,0.009605985526104584,0.04080376847042135,SERPINE2,SERPINE2,2,1.15411757260823,0.9225372492291449,Astrocyte,Astro_Intermediate,Cerebrovascular_Pericyte;Cerebrovascular_Venous,SERPINE2 - LRP1
MFGE8,0.5619191363440341,0.03411845140693922,0.00960402561022038,0.03959564081324139,MFGE8,MFGE8,9,1.17171888891271,0.27129760734175246,Astrocyte,Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,MFGE8 - ITGAV;MFGE8 - ITGB5;MFGE8 - PDGFRB
KITLG,0.5610581569986159,0.0340510859013085,0.009536660104589662,0.023394239324074112,KITLG,KITLG,1,0.0157991928730459,0.0157991928730459,Astrocyte,Astro_Reactive,Cerebrovascular_Venous,KITLG - KIT
COL6A2,0.5619801037933623,0.0339497048361748,0.00943527903945596,0.04270550916814205,COL6A2,COL6A2,28,1.29768315573653,0.3338139310439502,Astrocyte,Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL6A2 - ITGA1/ITGB1;COL6A2 - ITGA10/ITGB1;COL6A2 - ITGA11/ITGB1;COL6A2 - ITGA2/ITGB1;COL6A2 - ITGA3/ITGB1
COL18A1,0.562189772338621,0.03391837183029558,0.009403946033576738,0.033101935932235656,COL18A1,COL18A1,17,0.8737483430052639,0.3097700336483204,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL18A1 - ITGA1/ITGB1;COL18A1 - ITGA10/ITGB1;COL18A1 - ITGA5;COL18A1 - KDR
LAMB2,0.5429017531859213,0.033813742878820836,0.009299317082101997,0.035715845977950536,LAMB2,LAMB2,37,0.3702385993242391,0.11864713224998122,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,LAMB2 - DAG1;LAMB2 - ITGA2/ITGB1;LAMB2 - ITGA3/ITGB1;LAMB2 - ITGA6/ITGB1;LAMB2 - ITGA9/ITGB1
PROS1,0.5664322146054205,0.0337697676316003,0.00925534183488146,0.0341373381069787,PROS1,PROS1,9,0.36255846688303706,0.13248707993725867,Astrocyte;Microglia,Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,PROS1 - AXL;PROS1 - MERTK
TIMP2,0.5534446608871488,0.03370644500003403,0.00919201920331519,0.027867348115582946,TIMP2,TIMP2,4,0.07668432427801808,0.04529731319684965,Astrocyte;Microglia,Astro_Intermediate;Astro_Reactive;Micro_DAM,CapEC_ActMid;Cerebrovascular_Venous,TIMP2 - ITGB1
COL27A1,0.5595681720174259,0.03368686223999016,0.009172436443271318,0.04117510260056977,COL27A1,COL27A1,21,1.58763944897809,0.6366347919816158,Astrocyte,Astro_Homeostatic;Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL27A1 - ITGA1/ITGB1;COL27A1 - ITGA10/ITGB1;COL27A1 - ITGA11/ITGB1;COL27A1 - ITGA2/ITGB1
ENTPD1,0.5546863150381407,0.03364933145091124,0.009134905654192404,0.035346829221681766,ENTPD1,ENTPD1,1,0.07389230642625,0.07389230642625,Microglia,Micro_DAM,Cerebrovascular_Pericyte,ENTPD1 - ADORA2B
ADAM12,0.5637957441746321,0.03362748848010581,0.009113062683386974,0.0389448279891632,ADAM12,ADAM12,10,1.05115714425366,0.43374720517345783,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ADAM12 - ITGA9;ADAM12 - ITGB1;ADAM12 - SDC4
LGALS3,0.5621481360317617,0.033592398463201466,0.009077972666482626,0.02667951987965119,LGALS3,LGALS3,4,0.6234846563785403,0.3640297648125727,Astrocyte,Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,LGALS3 - ENG;LGALS3 - MCAM
HLA-B,0.5611800918972761,0.033587879271452153,0.009073453474733314,0.041790706686870356,HLA-B,HLA-B,5,0.44227666546762295,0.3142248672800774,Microglia,Micro_DAM,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,HLA-B - CANX
COL11A1,0.5597659444750085,0.03358006874563796,0.009065642948919119,0.0388529601702117,COL11A1,COL11A1,27,0.536562460174393,0.18119840376573415,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL11A1 - ITGA1/ITGB1;COL11A1 - ITGA10/ITGB1;COL11A1 - ITGA11/ITGB1;COL11A1 - ITGA2/ITGB1
NDP,0.5596573926749828,0.03355224182781169,0.009037816031092851,0.04142866901037295,NDP,NDP,4,0.4440689689363031,0.22291976810211653,Astrocyte,Astro_Homeostatic;Astro_Intermediate,CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,NDP - FZD4
AGRN,0.558958497524125,0.0335293670129,0.009014941216181158,0.032431670445578216,AGRN,AGRN,21,0.45222606022049405,0.26838396234614925,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,AGRN - DAG1;AGRN - ITGB1;AGRN - LRP1
NCAN,0.561835863730316,0.03348837145667553,0.008973945659956687,0.040083439479406485,NCAN,NCAN,17,1.4581156076051442,0.5085233861522351,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,NCAN - CDH2;NCAN - SDC3
EFNB2,0.5564112477508938,0.033486454627551294,0.008972028830832455,0.04086844972739695,EFNB2,EFNB2,32,1.0327128925199205,0.23835495619742703,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,EFNB2 - EPHA3;EFNB2 - EPHA4;EFNB2 - EPHB4;EFNB2 - PECAM1
NTN1,0.5543041532216082,0.033473504645435366,0.008959078848716526,0.0368524623839373,NTN1,NTN1,1,0.06376972699118902,0.06376972699118902,Astrocyte,Astro_Intermediate,Cerebrovascular_Pericyte,NTN1 - MCAM
COL4A5,0.5639117310294551,0.033454508667037246,0.008940082870318406,0.04075728766711336,COL4A5,COL4A5,14,0.8245301162397098,0.2794074969988923,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL4A5 - CD93;COL4A5 - ITGA1/ITGB1;COL4A5 - ITGA10/ITGB1;COL4A5 - ITGA11/ITGB1;COL4A5 - ITGA2/ITGB1
THBS4,0.5560246249014835,0.033437062053453225,0.008922636256734385,0.038268945421791246,THBS4,THBS4,2,0.06140664836992593,0.03332632087737447,Astrocyte,Astro_Homeostatic;Astro_Reactive,Cerebrovascular_Venous,THBS4 - ITGA3/ITGB1
C1QA,0.5583547710746616,0.03341028032219516,0.00889585452547632,0.04034518523303846,C1QA,C1QA,5,1.52582553668192,0.9382770756120934,Microglia,Micro_DAM;Micro_Homeostatic,CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,C1QA - CD93
