drug_name,drug_id,source,category,gene,edge_weight
CINNARIZINE,CHEMBL43064,drug2cell_ChEMBL,N07,CACNA1C,0.0
KETAMINE,CHEMBL742,drug2cell_ChEMBL,N01,CACNA1C,0.0
DIPYRIDAMOLE,CHEMBL932,drug2cell_ChEMBL,B01,PDE7B,0.04793173192044233
PINAVERIUM,CHEMBL1909324,drug2cell_ChEMBL,A03,CACNA1C,0.0
BECAPLERMIN,CHEMBL1201556,drug2cell_ChEMBL,A01,PDGFRB,0.3328086640948141
CLOTRIMAZOLE,CHEMBL104,drug2cell_ChEMBL,A01,CACNA1C,0.0
ALVIMOPAN,CHEMBL270190,drug2cell_ChEMBL,A06,CACNA1C,0.0
IMIPRAMINE,CHEMBL11,drug2cell_ChEMBL,N06,CACNA1C,0.0
PAROXETINE,CHEMBL490,drug2cell_ChEMBL,N06,CACNA1C,0.0
FLUOXETINE,CHEMBL41,drug2cell_ChEMBL,N06,CACNA1C,0.0
DULOXETINE,CHEMBL1175,drug2cell_ChEMBL,N06,CACNA1C,0.0
PENTOXIFYLLINE,CHEMBL628,drug2cell_ChEMBL,C04,PDE7B,0.04793173192044233
SULOCTIDIL,CHEMBL404849,drug2cell_ChEMBL,C04,CACNA1C,0.0
PREGABALIN,CHEMBL1059,drug2cell_ChEMBL,N03,CACNA1C,0.0
GABAPENTIN,CHEMBL940,drug2cell_ChEMBL,N03,CACNA1C,0.0
GABAPENTIN ENACARBIL,CHEMBL1628502,drug2cell_ChEMBL,N03,CACNA1C,0.0
TERFENADINE,CHEMBL17157,drug2cell_ChEMBL,R06,CACNA1C,0.0
ASTEMIZOLE,CHEMBL296419,drug2cell_ChEMBL,R06,CACNA1C,0.0
DILTIAZEM,CHEMBL23,drug2cell_ChEMBL,C05,CACNA1C,0.0
HALOFANTRINE,CHEMBL1107,drug2cell_ChEMBL,P01,CACNA1C,0.0
SAQUINAVIR,CHEMBL114,drug2cell_ChEMBL,J05,CACNA1C,0.0
CLOTRIMAZOLE,CHEMBL104,drug2cell_ChEMBL,D01,CACNA1C,0.0
CLOTRIMAZOLE,CHEMBL104,drug2cell_ChEMBL,G01,CACNA1C,0.0
TERIPARATIDE ACETATE,CHEMBL1201549,drug2cell_ChEMBL,H05,PTH1R,0.24355849163376725
PARATHYROID HORMONE,CHEMBL2108078,drug2cell_ChEMBL,H05,PTH1R,0.24355849163376725
ABALOPARATIDE,CHEMBL3301581,drug2cell_ChEMBL,H05,PTH1R,0.24355849163376725
TERIPARATIDE,CHEMBL525610,drug2cell_ChEMBL,H05,PTH1R,0.24355849163376725
BECAPLERMIN,CHEMBL1201556,drug2cell_ChEMBL,D03,PDGFRB,0.3328086640948141
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,CHEMBL2108709,drug2cell_ChEMBL,D03,COL4A3,0.030406636786443068
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,CHEMBL2108709,drug2cell_ChEMBL,M09,COL4A3,0.030406636786443068
Vascular wall PDGF-NOTCH axis,Vascular wall PDGF-NOTCH axis,curated_GEM_network_axis,GEM-network,COL4A3,0.030406636786443068
Vascular wall PDGF-NOTCH axis,Vascular wall PDGF-NOTCH axis,curated_GEM_network_axis,GEM-network,GJC1,0.048716702319267266
Vascular wall PDGF-NOTCH axis,Vascular wall PDGF-NOTCH axis,curated_GEM_network_axis,GEM-network,NOTCH3,0.3360439140435002
Vascular wall PDGF-NOTCH axis,Vascular wall PDGF-NOTCH axis,curated_GEM_network_axis,GEM-network,PDGFRB,0.3328086640948141
Ion-GPCR axis,Ion-GPCR axis,curated_GEM_network_axis,GEM-network,CACNA1C,0.0
Ion-GPCR axis,Ion-GPCR axis,curated_GEM_network_axis,GEM-network,GRM3,0.0427287329472041
Ion-GPCR axis,Ion-GPCR axis,curated_GEM_network_axis,GEM-network,GRM8,0.15228080394745774
Ion-GPCR axis,Ion-GPCR axis,curated_GEM_network_axis,GEM-network,PTH1R,0.24355849163376725
Ion-GPCR axis,Ion-GPCR axis,curated_GEM_network_axis,GEM-network,SLC6A12,0.12532223237155207
Phosphoinositide-cGMP axis,Phosphoinositide-cGMP axis,curated_GEM_network_axis,GEM-network,DGKB,0.1688404251908363
Phosphoinositide-cGMP axis,Phosphoinositide-cGMP axis,curated_GEM_network_axis,GEM-network,INPP4B,0.08952696994552778
Phosphoinositide-cGMP axis,Phosphoinositide-cGMP axis,curated_GEM_network_axis,GEM-network,PDE7B,0.04793173192044233
Phosphoinositide-cGMP axis,Phosphoinositide-cGMP axis,curated_GEM_network_axis,GEM-network,PLCE1,0.04716707786528171
