trajectory,trajectory_label,sample_id,Group,n_cells,mean_pseudotime,median_pseudotime,q25_pseudotime,q75_pseudotime
astro,Astrocytes,D1_AD15,AD,353,0.4127330197089475,0.3687997151727814,0.2941605510116942,0.4579649780921303
astro,Astrocytes,D1_AD16,AD,568,0.6413575292794857,0.6113273275445597,0.5470226698737042,0.7206263565344769
astro,Astrocytes,D1_AD17,AD,711,0.4043822723548181,0.3481294201637911,0.2834468771310381,0.4339454282790742
astro,Astrocytes,D1_AD18,AD,287,0.8160660420224374,0.8686560337935756,0.6737521438052603,0.9798771412570202
astro,Astrocytes,D1_AD19,AD,369,0.4046515983544017,0.2206907757546544,0.15282656587943,0.7332605687773561
astro,Astrocytes,D1_AD2,AD,226,0.6202896948032146,0.5268465819544466,0.3300284295807655,0.9752714728748568
astro,Astrocytes,D1_AD20,AD,455,0.5316845580287055,0.5104133017823329,0.4691877663709689,0.5725967239973035
astro,Astrocytes,D1_AD21,AD,426,0.430146407194009,0.3698474306252604,0.309049940876881,0.4558966486739344
astro,Astrocytes,D1_AD22,AD,501,0.4706201628658261,0.4544745212624267,0.389106331484827,0.5232350777801293
astro,Astrocytes,D1_AD23,AD,345,0.7562693103583347,0.7231350478442842,0.6871619833067901,0.8322591991987751
astro,Astrocytes,D1_AD24,AD,467,0.2627726184877917,0.2228299745172213,0.1555986693295477,0.3207416832649379
astro,Astrocytes,D1_AD25,AD,657,0.5426615406560218,0.4945522833669957,0.4408800100238189,0.5805342694545605
astro,Astrocytes,D1_AD26,AD,499,0.5046089034351579,0.4177925247642872,0.3686347508974744,0.5425546662923957
astro,Astrocytes,D1_AD27,AD,490,0.35269294167774,0.3021915951075493,0.232611345327418,0.4060056439337027
astro,Astrocytes,D1_AD28,AD,368,0.3039303776710925,0.29377436227899,0.2464480705137204,0.3458758078088709
astro,Astrocytes,D1_AD29,AD,51,0.3907536342654589,0.3035696863298959,0.2287417061999816,0.4667191459062751
astro,Astrocytes,D1_AD3,AD,349,0.354639100199604,0.2752291637187729,0.1877822364298322,0.3818795068652295
astro,Astrocytes,D1_AD4,AD,114,0.7136956390292919,0.7265836598591686,0.6505201172829979,0.7750157832189094
astro,Astrocytes,D1_AD5,AD,309,0.4591529484139369,0.4101488918004293,0.3359291000406559,0.509160670467901
astro,Astrocytes,D1_AD6,AD,652,0.6484437293324387,0.5407044606114394,0.4953090528804571,0.8848173208059522
astro,Astrocytes,D1_AD7,AD,475,0.5586189460921254,0.4421930457520899,0.3950377706293581,0.7302805232816701
astro,Astrocytes,D1_AD8,AD,343,0.6086097116437039,0.5437146486848111,0.4154611409811836,0.8533272361045183
astro,Astrocytes,D1_AD9,AD,310,0.6106113099959436,0.6071812025673022,0.545672082635448,0.6678219196063678
astro,Astrocytes,D2_NC1,CN,263,0.2642974276773294,0.1766487429286087,0.1122439230522782,0.25677653954403
astro,Astrocytes,D2_NC2,CN,1696,0.0700181880422414,0.0142797107642009,0.0072884663400379,0.0320053651350739
astro,Astrocytes,D2_NC3,CN,80,0.3566817985512477,0.3551416689855601,0.2874033364228869,0.4541668195087114
astro,Astrocytes,D2_NC4,CN,810,0.7330778650985964,0.7231761174790637,0.7036592456467708,0.7428092737709203
astro,Astrocytes,D2_NC5,CN,1130,0.2575589001968752,0.2031080228425826,0.1485030737462351,0.2641182100679258
astro,Astrocytes,D2_NC6,CN,391,0.5739853305509243,0.5018943414809113,0.4107813194541097,0.7867511667524535
astro,Astrocytes,D2_AD2,AD,432,0.3923402226012987,0.3271867686294203,0.2437898290855433,0.4799524679684491
astro,Astrocytes,D2_AD3,AD,748,0.6671721012906786,0.6629885900705306,0.6061580394518403,0.727397114413011
astro,Astrocytes,D2_AD4,AD,200,0.4621237161964948,0.408981560104948,0.3104307005074401,0.5384618125818841
astro,Astrocytes,D2_AD5,AD,125,0.4795380589155659,0.4352711054049107,0.3591332797107338,0.4981826303791936
micro,Microglia,D1_NC1,CN,301,0.5443386326633702,0.5368881935317334,0.4905547883657927,0.5825414878091466
micro,Microglia,D1_NC10,CN,751,0.4800291775521279,0.4688366204662981,0.4137075424058692,0.5297155016737356
micro,Microglia,D1_NC11,CN,476,0.397729157833325,0.3908443519955403,0.3394903521284574,0.4484013632312229
micro,Microglia,D1_NC12,CN,203,0.3978145049854752,0.4058948954602688,0.3556645265565388,0.46088368199018
micro,Microglia,D1_NC13,CN,426,0.3791265192442362,0.3741495404414893,0.3102027709711953,0.427645516412258
micro,Microglia,D1_NC14,CN,424,0.4561271652653134,0.4439751639506119,0.3826262210274403,0.5073506611734726
micro,Microglia,D1_NC15,CN,278,0.7747727523718481,0.7833425258769056,0.6820734622462922,0.8757001663972794
micro,Microglia,D1_NC16,CN,556,0.5740322492464746,0.580227438873765,0.5057191414313582,0.6435963678615301
micro,Microglia,D1_NC17,CN,248,0.3660467082433636,0.3603474094791216,0.3073835949013538,0.4316767856299436
micro,Microglia,D1_NC18,CN,244,0.4401870922024733,0.4296078662138883,0.3680434702517766,0.5161479164155063
micro,Microglia,D1_NC19,CN,376,0.4832834340257113,0.4732955564277375,0.4329101807584269,0.5225664853176957
micro,Microglia,D1_NC2,CN,274,0.5851117846470816,0.5710986071818634,0.5190744234179316,0.6403244612599225
micro,Microglia,D1_NC20,CN,354,0.4880594719972984,0.4777554776244413,0.4316551253819354,0.5283347243063929
micro,Microglia,D1_NC21,CN,427,0.4300680998739953,0.4187231362916545,0.3673233528403944,0.4820217553082834
micro,Microglia,D1_NC22,CN,380,0.754459442406935,0.7713154604491037,0.6973148427961597,0.847643188868585
micro,Microglia,D1_NC23,CN,471,0.6768471609062866,0.6814819777481331,0.6254251961916895,0.7350798509297247
micro,Microglia,D1_NC24,CN,302,0.3706726596271819,0.3651639559858984,0.3283740620634923,0.4014463940359469
micro,Microglia,D1_NC25,CN,437,0.3810428593131348,0.3757001813250865,0.3265264324589281,0.4183037246251911
micro,Microglia,D1_NC26,CN,154,0.6810122147824074,0.7045191069660373,0.6371250888726991,0.7718411282460442
micro,Microglia,D1_NC27,CN,217,0.4783092476716473,0.4850142432178046,0.4395033005082799,0.5351535226430053
micro,Microglia,D1_NC3,CN,199,0.4006955366692021,0.4022541824580473,0.3684792427947506,0.43930365601699
micro,Microglia,D1_NC4,CN,340,0.5176634061772031,0.5140715181681264,0.4696489469417372,0.574540481794375
micro,Microglia,D1_NC5,CN,336,0.3731614932403662,0.3798219279812129,0.336101351808465,0.4129389842606576
micro,Microglia,D1_NC6,CN,407,0.3849296515239243,0.3791694633913147,0.3405989955735469,0.4175135062319713
micro,Microglia,D1_NC7,CN,395,0.6944247421452432,0.6851185109643847,0.6273525552136292,0.7601009155582322
micro,Microglia,D1_NC8,CN,252,0.68955224831365,0.6959318561133758,0.6282357439890648,0.7894961112764116
micro,Microglia,D1_NC9,CN,352,0.4576067645647994,0.4536392470915705,0.3991958629195005,0.5174047034176139
micro,Microglia,D1_AD1,AD,361,0.8281827386461134,0.8423952585941027,0.7858552340683129,0.9017682226278207
micro,Microglia,D1_AD10,AD,443,0.4898683695184259,0.481155166254271,0.4321059152987869,0.5405013498021678
micro,Microglia,D1_AD11,AD,778,0.4566837145461845,0.4494611031804648,0.4013190150585148,0.5029683347177382
micro,Microglia,D1_AD12,AD,440,0.4945848932145295,0.4849362603538523,0.4393266448398243,0.5388040282866419
micro,Microglia,D1_AD13,AD,678,0.3857035160104705,0.3622653938382431,0.3183142576858352,0.4194302665109158
micro,Microglia,D1_AD14,AD,545,0.6382438974696178,0.6357002446189883,0.5775035917796507,0.6968588132190389
micro,Microglia,D1_AD15,AD,402,0.5007692033086928,0.502604454493446,0.4577628447957694,0.558199742895394
micro,Microglia,D1_AD16,AD,424,0.5980726042781875,0.5861116221397054,0.5423736401439542,0.6507852414623543
micro,Microglia,D1_AD17,AD,428,0.4921916642608762,0.45993092963396,0.4004772061641812,0.5507466769656593
micro,Microglia,D1_AD18,AD,194,0.8131889958192432,0.8112011576335223,0.7186762808909322,0.9378367004196326
micro,Microglia,D1_AD19,AD,234,0.3853058084495759,0.3837849024817121,0.3431756544902933,0.4250735000434996
micro,Microglia,D1_AD2,AD,163,0.4545345493702979,0.4468081930253822,0.3819970885999383,0.5187032285681922
micro,Microglia,D1_AD20,AD,350,0.6637840451990795,0.665076019260215,0.6097077230920456,0.7206391680936157
micro,Microglia,D1_AD21,AD,371,0.4779311663250838,0.4642917600475635,0.416370663180964,0.5185094954884883
micro,Microglia,D1_AD22,AD,167,0.6346130440301303,0.6447543178532571,0.5629296931935589,0.7188475625488551
micro,Microglia,D1_AD23,AD,236,0.833366819187664,0.8530836878538226,0.7631203780150663,0.9198759809733754
micro,Microglia,D1_AD24,AD,471,0.4088945882711015,0.3989476134885037,0.3450063708894865,0.458843229902141
micro,Microglia,D1_AD25,AD,279,0.6476225041072876,0.6526951349500626,0.5779380208199916,0.7041373432289169
micro,Microglia,D1_AD26,AD,463,0.5857297337570082,0.5845882692873685,0.529984291767213,0.6406536791162786
micro,Microglia,D1_AD27,AD,291,0.4717612234807992,0.4703966957239416,0.4158185134543429,0.5355077595039526
micro,Microglia,D1_AD28,AD,461,0.4602074952044024,0.433778367087792,0.3732107008014261,0.5080433711311378
micro,Microglia,D1_AD29,AD,74,0.4991255492365852,0.5107399003383776,0.4598921770468964,0.564773471423908
micro,Microglia,D1_AD3,AD,283,0.5030602058225736,0.4985280883707068,0.4277035855816253,0.5531907918837393
micro,Microglia,D1_AD4,AD,239,0.8548262711048739,0.9241175382087672,0.763632655569096,0.9689488775752034
micro,Microglia,D1_AD5,AD,301,0.6474210865678013,0.6604306051332907,0.5775868889429077,0.7607014612352617
micro,Microglia,D1_AD6,AD,590,0.6037292050423265,0.6035011439775644,0.5594534398414452,0.6498840646794413
micro,Microglia,D1_AD7,AD,272,0.5649861426221019,0.5521093916864892,0.5033034490578733,0.6189256439363338
micro,Microglia,D1_AD8,AD,475,0.4927810982510829,0.487818521336225,0.4457958190078633,0.5502800785011575
micro,Microglia,D1_AD9,AD,224,0.6914056693149705,0.6823478502674077,0.6181207962922194,0.7712608694587757
micro,Microglia,D2_NC1,CN,202,0.453282811556787,0.4485129485888117,0.3913513301780726,0.5044211088984121
micro,Microglia,D2_NC2,CN,317,0.2786065713510421,0.2736809207519148,0.2383438756492177,0.3162066006105234
micro,Microglia,D2_NC3,CN,16,0.6173405086226298,0.5935612845294358,0.5386155647228213,0.6678231985167253
micro,Microglia,D2_NC4,CN,304,0.7119951813604576,0.7227084905604609,0.6381125334524692,0.820770941817439
micro,Microglia,D2_NC5,CN,665,0.3619773321479137,0.364213592078804,0.3107627279408959,0.4187237334039358
micro,Microglia,D2_NC6,CN,174,0.5263691626240741,0.5394418934812596,0.4699901667549497,0.6066328486154967
micro,Microglia,D2_AD2,AD,398,0.5817852125486174,0.5823350362378488,0.4934332875407925,0.6663794705871148
micro,Microglia,D2_AD3,AD,1069,0.8538558975864062,0.8825256822470577,0.8115632465209701,0.9388732574845486
micro,Microglia,D2_AD4,AD,344,0.5357614232158452,0.5281328854274687,0.4750316902415552,0.582259456750829
micro,Microglia,D2_AD5,AD,417,0.6342525491861315,0.6386609064439104,0.5630913911993651,0.7086567368088492
vascular,Cerebrovascular,D1_NC1,CN,42,0.3559836319393419,0.3580690518506019,0.1109820553182242,0.5109740566954564
vascular,Cerebrovascular,D1_NC10,CN,73,0.34157087879605,0.2828464085885204,0.0839394402444957,0.5344087375653362
vascular,Cerebrovascular,D1_NC11,CN,46,0.4380301855823535,0.4952434916320194,0.1478747698119377,0.7000129966423698
vascular,Cerebrovascular,D1_NC12,CN,9,0.2592537125389789,0.2746034381956062,0.2079361266231845,0.2922180834798255
vascular,Cerebrovascular,D1_NC13,CN,16,0.2047249960633878,0.2185789227004616,0.0686377225798164,0.2778232794616088
vascular,Cerebrovascular,D1_NC14,CN,3,0.2202648735420427,0.2437792719288707,0.1742684633979857,0.2780184828795137
vascular,Cerebrovascular,D1_NC15,CN,59,0.3277042969306331,0.2854826400029188,0.1420426123866212,0.4997694760493049
vascular,Cerebrovascular,D1_NC16,CN,44,0.3852688912017555,0.3619104508948156,0.0787050895544196,0.6826268151932391
vascular,Cerebrovascular,D1_NC17,CN,44,0.3977215381959846,0.2810454495539491,0.1697405980055812,0.6915575208461306
vascular,Cerebrovascular,D1_NC18,CN,36,0.3269468671370802,0.2636593576750622,0.1237448894951002,0.506489364160545
vascular,Cerebrovascular,D1_NC19,CN,49,0.3752704285606034,0.5041691664228863,0.0526856353751825,0.5252456419150047
vascular,Cerebrovascular,D1_NC2,CN,60,0.3311327317755953,0.2735676478967443,0.1396066749656483,0.5041730030149941
vascular,Cerebrovascular,D1_NC20,CN,69,0.3472472900992236,0.3065693862163218,0.1373420555642438,0.5101587883367361
vascular,Cerebrovascular,D1_NC21,CN,34,0.3906398782651168,0.4579920632404137,0.1556021440250108,0.5145791097231306
vascular,Cerebrovascular,D1_NC22,CN,38,0.3503057285416244,0.3227548486910772,0.2364639656222238,0.490787013723893
vascular,Cerebrovascular,D1_NC23,CN,51,0.4541845925849399,0.5499413523900596,0.1925048754576517,0.7230823055595712
vascular,Cerebrovascular,D1_NC25,CN,2,0.2848430188922155,0.2848430188922155,0.2461851137479396,0.3235009240364914
vascular,Cerebrovascular,D1_NC26,CN,37,0.3065874955443443,0.2144947584389053,0.0900899303161417,0.5005906560441135
vascular,Cerebrovascular,D1_NC27,CN,29,0.3972563135321096,0.4748298359437387,0.1151356813038179,0.7253586437345346
vascular,Cerebrovascular,D1_NC3,CN,37,0.4761107953316202,0.519501920177029,0.3803344827584148,0.5550472145654592
vascular,Cerebrovascular,D1_NC4,CN,20,0.4752742864789597,0.5473699101186489,0.2606438410634544,0.7247399522041237
vascular,Cerebrovascular,D1_NC6,CN,4,0.455099123507394,0.4860979517494651,0.2311700955051681,0.7100269797516909
vascular,Cerebrovascular,D1_NC7,CN,8,0.1841991835015432,0.2065161396920802,0.0946726873395983,0.2690453209310791
vascular,Cerebrovascular,D1_NC8,CN,50,0.3863901298846162,0.383066285622907,0.159880048723824,0.6879323742271058
vascular,Cerebrovascular,D1_NC9,CN,23,0.5233857664299496,0.517650085244001,0.3442341812828883,0.7043609303434308
vascular,Cerebrovascular,D1_UC1,AD,81,0.3669314583496158,0.4304022784759181,0.113558707592147,0.5064770930371496
vascular,Cerebrovascular,D1_UC10,AD,22,0.4549963837235493,0.4264804154960582,0.2778316094942786,0.720294461579232
vascular,Cerebrovascular,D1_UC11,AD,22,0.4074345951430139,0.4793723609993722,0.1747401403016355,0.5295281893381194
vascular,Cerebrovascular,D1_UC12,AD,5,0.3604692716440373,0.3551165777622284,0.3426651196094164,0.3733023826341689
vascular,Cerebrovascular,D1_UC13,AD,59,0.2986525689135061,0.2731794504602806,0.2427733980914252,0.3425763256411005
vascular,Cerebrovascular,D1_UC14,AD,34,0.3038876759497232,0.2541047504892476,0.094308017020496,0.4720899866856818
vascular,Cerebrovascular,D1_UC15,AD,50,0.2983309516605517,0.2617962070345723,0.070137740523722,0.5037436181947739
vascular,Cerebrovascular,D1_UC16,AD,1,0.4148664988359152,0.4148664988359152,0.4148664988359152,0.4148664988359152
vascular,Cerebrovascular,D1_UC17,AD,45,0.3211161896112357,0.2664884338242798,0.0619835640991236,0.680536559199691
vascular,Cerebrovascular,D1_UC18,AD,54,0.3260745873182056,0.2459721306366479,0.1164070861288952,0.4940393391316331
vascular,Cerebrovascular,D1_UC19,AD,27,0.4924672011073199,0.5138328403088549,0.2868610066274217,0.724853407846222
vascular,Cerebrovascular,D1_UC2,AD,20,0.2281367245583037,0.2154355744226317,0.0915598825148912,0.290604475538456
vascular,Cerebrovascular,D1_UC20,AD,72,0.1738971814679271,0.0768351465037778,0.0246263831063832,0.2637873535533979
vascular,Cerebrovascular,D1_UC21,AD,14,0.2018890262043378,0.2091462803299027,0.1472591684549365,0.2798131122835259
vascular,Cerebrovascular,D1_UC22,AD,35,0.3002359203446192,0.2922835891847632,0.2356935271705064,0.3714204520992369
vascular,Cerebrovascular,D1_UC23,AD,43,0.3693275926667044,0.2735091883843158,0.1439307829818686,0.6742008677206934
vascular,Cerebrovascular,D1_UC24,AD,93,0.374694308716792,0.2886709823998651,0.2089785451200847,0.5273526326157623
vascular,Cerebrovascular,D1_UC25,AD,41,0.3021857354702941,0.2653004935380145,0.1139092855262308,0.4793233959327824
vascular,Cerebrovascular,D1_UC26,AD,59,0.3472439727365707,0.3434785965632614,0.1528121503588214,0.4885440852498529
vascular,Cerebrovascular,D1_UC27,AD,49,0.457119239602202,0.5022699189741604,0.2567892304082856,0.7133284642948824
vascular,Cerebrovascular,D1_UC28,AD,57,0.5590875700731719,0.7026700829951907,0.4859576250342382,0.7274121311430184
vascular,Cerebrovascular,D1_UC29,AD,2,0.0161356912759717,0.0161356912759717,0.0121443665720745,0.0201270159798689
vascular,Cerebrovascular,D1_UC3,AD,28,0.4642882819660355,0.5045674255833994,0.2637495101254085,0.7039000615825283
vascular,Cerebrovascular,D1_UC4,AD,21,0.5897745136788591,0.705390988146692,0.5095759846173258,0.714833005536098
vascular,Cerebrovascular,D1_UC5,AD,31,0.4839238353744147,0.686289954523993,0.2578000604658859,0.719934150345326
vascular,Cerebrovascular,D1_UC6,AD,45,0.2514948168984177,0.134092626261052,0.0886368023948455,0.4290578888305488
vascular,Cerebrovascular,D1_UC7,AD,2,0.3130799486678904,0.3130799486678904,0.2990669527420825,0.3270929445936983
vascular,Cerebrovascular,D1_UC8,AD,62,0.4812241227352118,0.6850476749565122,0.1961628047858933,0.7244476098568591
vascular,Cerebrovascular,D1_UC9,AD,17,0.2796670197033917,0.3047645458045208,0.073193041251934,0.4671427384836104
vascular,Cerebrovascular,D2_NC1,CN,35,0.5226120686042212,0.5360380202993641,0.4585620882717141,0.6795467781493749
vascular,Cerebrovascular,D2_NC2,CN,76,0.4636383867667451,0.6055404092273354,0.1332970036424635,0.6665662882801575
vascular,Cerebrovascular,D2_NC3,CN,26,0.3858807067022414,0.4927031003784462,0.0250550364362794,0.7191536203128115
vascular,Cerebrovascular,D2_NC4,CN,247,0.6109388087858815,0.396129239829881,0.3595723092516567,0.9971609815537248
vascular,Cerebrovascular,D2_NC5,CN,141,0.5177894294392963,0.5685624089331868,0.4949921575280236,0.6898448780719085
vascular,Cerebrovascular,D2_NC6,CN,43,0.3454121501096911,0.4594075119458341,0.0334658316092554,0.6831662221295469
vascular,Cerebrovascular,D2_UC2,AD,40,0.3943758351305603,0.4871561943227632,0.0757840844783545,0.6056227392097265
vascular,Cerebrovascular,D2_UC3,AD,87,0.5243968955623401,0.6498067999698806,0.4448786511294539,0.6733306928025473
vascular,Cerebrovascular,D2_UC4,AD,43,0.3091932638805107,0.4634717916132753,0.0442165598302655,0.4949033934164557
vascular,Cerebrovascular,D2_UC5,AD,44,0.2704651870780668,0.1239599625787464,0.0333815161531276,0.4930721297827449
