ligand,target,weight,receiver_context,ligand_clean,target_clean,regulatory_potential
MFGE8,CASP3,0.038479146002276705,Microglia,MFGE8,CASP3,0.038479146002276705
MFGE8,CDKN1A,0.01898922568395254,Microglia,MFGE8,CDKN1A,0.01898922568395254
MFGE8,DUSP1,0.0092541416655793525,Microglia,MFGE8,DUSP1,0.0092541416655793525
FGF2,CDCP1,0.1939950651115961,Microglia,FGF2,CDCP1,0.1939950651115961
FGF2,CDKN1A,0.21290306745100995,Microglia,FGF2,CDKN1A,0.21290306745100995
FGF2,DACT1,0.1918238946944913,Microglia,FGF2,DACT1,0.1918238946944913
FGF2,TNFRSF11B,0.20802481073058565,Microglia,FGF2,TNFRSF11B,0.20802481073058565
FBN1,BCL2,0.012593501516641306,Microglia,FBN1,BCL2,0.012593501516641306
FBN1,CDKN1A,0.01804711234386768,Microglia,FBN1,CDKN1A,0.01804711234386768
FBN1,CHPF2,0.021834736976913318,Microglia,FBN1,CHPF2,0.021834736976913318
FBN1,MCL1,0.025505841819268325,Microglia,FBN1,MCL1,0.025505841819268325
FBN1,PSTPIP1,0.02272286351871907,Microglia,FBN1,PSTPIP1,0.02272286351871907
FBN1,PTGER4,0.024845997166446494,Microglia,FBN1,PTGER4,0.024845997166446494
BGN,ARPC5,0.021919928506359074,Microglia,BGN,ARPC5,0.021919928506359074
BGN,CDKN1A,0.017666489231366992,Microglia,BGN,CDKN1A,0.017666489231366992
BGN,FOSL2,0.02474212537553187,Microglia,BGN,FOSL2,0.02474212537553187
BGN,PLTP,0.06362402014128934,Microglia,BGN,PLTP,0.06362402014128934
