rank_metric,library,ID,Description_clean,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,core_enrichment
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOBP_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS,Gobp Regulation of Carbohydrate Metabolic Process,22,0.7765557880168803,1.0994408055678597,0.22577422577422576,0.7992043766439468,0.7795662849142565,PTH1R/GPER1/C1QTNF1/PDK4/NUPR1/DDIT4
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::HP_BOWING_OF_THE_LEGS,Hp Bowing of the Legs,44,0.7472511725794209,1.062185197095504,0.22577422577422576,0.7992043766439468,0.7795662849142565,PDGFRB/PTH1R/BGN/FLNA/SATB2/TPM2/HS2ST1/SETBP1/LTBP1/TENT5A/CSGALNACT1
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOBP_REGULATION_OF_CHEMOTAXIS,Gobp Regulation of Chemotaxis,59,0.7371214918290186,1.0529614905301545,0.22577422577422576,0.7992043766439468,0.7795662849142565,PDGFRB/SEMA5A/SMOC2/PGF/JAM3/CSF1R/GSTP1
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOBP_HEMOSTASIS,Gobp Hemostasis,60,0.7368807193703405,1.0528190599149732,0.22577422577422576,0.7992043766439468,0.7795662849142565,DGKB/AXL/C1QTNF1/TFPI/FLNA/MYL9/PDGFA/DGKG
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOBP_HINDBRAIN_DEVELOPMENT,Gobp Hindbrain Development,24,0.7734843475470228,1.0945255415168111,0.22677322677322678,0.8013910714285715,0.7816992481203009,DAB1/BCL2/CNTN1/ATP1B2/FLNA/GRID2/PLXNA2/NFIB/GPX4/SMAD1
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::HP_PRIMARY_AMENORRHEA,Hp Primary Amenorrhea,18,0.7857460889458712,1.1054550539296524,0.227,0.8013910714285715,0.7816992481203009,AXL/CPE
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::HP_BROAD_TOE,Hp Broad Toe,20,0.7803851535658126,1.1009912017596597,0.227,0.8013910714285715,0.7816992481203009,ABCC9/FLNA/CHST11/SATB2/SETBP1/GJA5
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::HP_ABNORMALITY_OF_REFRACTION,Hp Abnormality of Refraction,74,0.7314202837931754,1.0480019936439413,0.22777222777222778,0.803191597883504,0.7834555319450414,PDGFRB/COL4A3/COL4A4/CYSLTR2/JAG1/FLNA/SLC4A11/MED12L/SATB2/COL4A1/CAMK2G/SETBP1
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::HP_THORACIC_SCOLIOSIS,Hp Thoracic Scoliosis,10,0.8157773877441576,1.1441125246014239,0.22796352583586627,0.803191597883504,0.7834555319450414,DMD/TPM2
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOBP_RAS_PROTEIN_SIGNAL_TRANSDUCTION,Gobp Ras Protein Signal Transduction,16,0.7898068711119657,1.1105839214431583,0.22822822822822822,0.803191597883504,0.7834555319450414,PLCE1/RGL3/RRAS/SPRY1/RERG/NTN1
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::HP_ABNORMAL_JUDGMENT,Hp Abnormal Judgment,52,0.741332004167236,1.0562978886604977,0.22877122877122877,0.803191597883504,0.7834555319450414,NOTCH3/PDGFRB/ABCC9/EDNRA/CSF1R/MED12L/SATB2/SETBP1/NR4A2/CACNA1H/NFIB/FMO3/PON3/ADCY5/ATP7B
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::HP_APLASIA_HYPOPLASIA_INVOLVING_THE_SKELETAL_MUSCULATURE,Hp Aplasia Hypoplasia Involving the Skeletal Musculature,10,0.8156762598033697,1.1439706945563883,0.22897669706180346,0.803191597883504,0.7834555319450414,FLNA/COL4A1/TPM2
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::HP_MEMORY_IMPAIRMENT,Hp Memory Impairment,17,0.7869891349720021,1.1069727595928573,0.229,0.803191597883504,0.7834555319450414,NOTCH3/PDGFRB/CSF1R
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOBP_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS,Gobp Phenol Containing Compound Metabolic Process,16,0.7894519064166178,1.1100847891897527,0.22922922922922923,0.803191597883504,0.7834555319450414,NT5DC2/BCL2/EDNRA/RNF180/NR4A2/SLCO1C1
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOBP_CHROMOSOME_SEGREGATION,Gobp Chromosome Segregation,24,0.7727846175316258,1.09353538266428,0.22977022977022976,0.803191597883504,0.7834555319450414,DYNC1I1/TTN/PPP2R1B/FLNA/SPATA22/NCAPG2/PSRC1
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::HP_FUNCTIONAL_MOTOR_DEFICIT,Hp Functional Motor Deficit,45,0.7470649933383632,1.0627280489834303,0.22977022977022976,0.803191597883504,0.7834555319450414,PDGFRB/DMD/DAB1/TTN/CHST11/GRID2/TPM2
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::HP_DEHYDRATION,Hp Dehydration,10,0.8150816724151595,1.1431367968680712,0.22998986828774062,0.803191597883504,0.7834555319450414,ATP1A2/SLC1A3
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOMF_TRANSPORTER_INHIBITOR_ACTIVITY,Gomf Transporter Inhibitor Activity,10,0.815053099402109,1.1430967237518168,0.22998986828774062,0.803191597883504,0.7834555319450414,BCL2/KCNE4
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::HP_FETAL_ULTRASOUND_SOFT_MARKER,Hp Fetal Ultrasound Soft Marker,18,0.7851530612172877,1.104620731609878,0.23,0.803191597883504,0.7834555319450414,CACNA1C/MYL9/RRAS/DOCK11
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOBP_REGULATION_OF_LIPID_STORAGE,Gobp Regulation of Lipid Storage,12,0.80831235635611,1.13232141222967,0.23015075376884422,0.803191597883504,0.7834555319450414,LPL
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOBP_REGULATION_OF_SODIUM_ION_TRANSMEMBRANE_TRANSPORT,Gobp Regulation of Sodium Ion Transmembrane Transport,11,0.8127501052631572,1.1418740991352474,0.23038229376257546,0.8032906433308848,0.7835521436425105,DMD/TESC/ATP1B2
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOMF_AMIDE_BINDING,Gomf Amide Binding,37,0.7564378966019915,1.0741192871885679,0.23076923076923078,0.8038698143961301,0.7841170832860584,PTH1R/SLC19A1/ITM2C
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::HP_SPARSE_AXILLARY_HAIR,Hp Sparse Axillary Hair,13,0.8027688714606696,1.1260286697924649,0.23115577889447236,0.8038698143961301,0.7841170832860584,AXL
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOBP_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE,Gobp Positive Regulation of Mitotic Cell Cycle,14,0.7980118064509262,1.1187361258303776,0.2316950852557673,0.8038698143961301,0.7841170832860584,HSPA2/SMOC2/CCND2/ADAMTS1
