group,source,target,n_lr,mean_strength,median_strength,source_n,target_n,source_family
CN,OPCs,Astro_Homeostatic,654,0.644687868863175,0.148435034303383,11259,10219,Oligo/OPC
CN,Astro_Reactive,Oligodendrocytes,391,0.641808264132971,0.68044260399252,1200,64998,Astrocyte
CN,Astro_Homeostatic,Cerebrovascular_Pericyte,801,0.639117661002007,0.154456219147409,10219,449,Astrocyte
CN,CapEC_ActMid,Micro_DAM,387,0.638412222158437,0.349772732124661,112,8260,Vascular
CN,OPCs,Cerebrovascular_Pericyte,758,0.63748168612755,0.103708172996268,11259,449,Oligo/OPC
CN,Inhibitory,CapEC_ActHigh,589,0.63446512322874,0.275656575482915,18751,124,Neuron
CN,Oligodendrocytes,OPCs,344,0.633187815359991,0.148130901133709,64998,11259,Oligo/OPC
CN,Micro_Homeostatic,Astro_Reactive,373,0.632780681879746,0.178344319316717,2998,1200,Microglia
CN,Micro_DAM,Astro_Reactive,368,0.628842538779095,0.133818775013765,8260,1200,Microglia
CN,Micro_Homeostatic,Cerebrovascular_Pericyte,430,0.628038410396954,0.281776928131697,2998,449,Microglia
CN,CapEC_ActHigh,Cerebrovascular_Venous,581,0.626667984408565,0.419307718646088,124,317,Vascular
CN,Micro_DAM,Astro_Homeostatic,369,0.624583046019752,0.140313703614083,8260,10219,Microglia
CN,Micro_Homeostatic,Astro_Homeostatic,372,0.624474451856528,0.175383925101906,2998,10219,Microglia
CN,Astro_Intermediate,Astro_Intermediate,687,0.623812560845213,0.222672936658023,5852,5852,Astrocyte
CN,Micro_DAM,Cerebrovascular_Pericyte,416,0.622546118807983,0.213807190479512,8260,449,Microglia
CN,Astro_Intermediate,Astro_Reactive,719,0.612029245450823,0.134977618472129,5852,1200,Astrocyte
CN,Astro_Homeostatic,OPCs,551,0.608182954299496,0.0086506571763316,10219,11259,Astrocyte
CN,CapEC_ActMid,OPCs,458,0.595081171044674,0.196407024981464,112,11259,Vascular
CN,CapEC_ActLow,CapEC_ActMid,361,0.591663108510322,0.455197789611868,129,112,Vascular
CN,Cerebrovascular_Pericyte,OPCs,594,0.588093827055876,0.189404400007269,449,11259,Vascular
CN,Cerebrovascular_Pericyte,Micro_Homeostatic,478,0.586505279450201,0.261064568147547,449,2998,Vascular
CN,Astro_Intermediate,Astro_Homeostatic,706,0.584024288662558,0.11241847645058,5852,10219,Astrocyte
CN,Cerebrovascular_Venous,OPCs,560,0.581804564606697,0.16883456963242,317,11259,Vascular
CN,CapEC_ActHigh,Excitatory,577,0.577669382834146,0.204770738808569,124,65392,Vascular
CN,Excitatory,CapEC_ActLow,525,0.570250332838684,0.039369385767483,65392,129,Neuron
CN,Cerebrovascular_SMC,CapEC_ActLow,305,0.563533477067156,0.357620275491534,285,129,Vascular
CN,Excitatory,OPCs,628,0.562052125735736,0.0102223276188264,65392,11259,Neuron
CN,Oligodendrocytes,Micro_Homeostatic,254,0.561515894039951,0.0,64998,2998,Oligo/OPC
CN,Micro_DAM,OPCs,324,0.555953150431789,0.0,8260,11259,Microglia
CN,Astro_Reactive,Cerebrovascular_Venous,742,0.554362644376205,0.0700199895120503,1200,317,Astrocyte
CN,CapEC_ActHigh,Oligodendrocytes,323,0.554009513674518,0.104639546837386,124,64998,Vascular
CN,Cerebrovascular_Pericyte,Micro_DAM,485,0.552282866283239,0.275519529144876,449,8260,Vascular
CN,Inhibitory,CapEC_ActMid,555,0.550723044985791,0.172353976482388,18751,112,Neuron
CN,Astro_Homeostatic,Micro_Homeostatic,427,0.549802397655424,0.0,10219,2998,Astrocyte
CN,Micro_Homeostatic,OPCs,330,0.543328779675001,0.0,2998,11259,Microglia
CN,OPCs,Oligodendrocytes,385,0.537008131936656,0.0,11259,64998,Oligo/OPC
CN,Excitatory,Astro_Homeostatic,774,0.536854098217092,0.0268937396243272,65392,10219,Neuron
CN,Astro_Intermediate,Cerebrovascular_Pericyte,824,0.535939277945322,0.132089625213972,5852,449,Astrocyte
CN,Micro_DAM,Cerebrovascular_Venous,348,0.53539810693335,0.008863990205683,8260,317,Microglia
CN,Excitatory,Astro_Reactive,790,0.533453376954986,0.0083135131068103,65392,1200,Neuron
CN,Cerebrovascular_SMC,Astro_Reactive,446,0.527082473596854,0.100960933853946,285,1200,Vascular
CN,Astro_Intermediate,OPCs,558,0.525324377967277,0.0,5852,11259,Astrocyte
CN,Cerebrovascular_Venous,Micro_Homeostatic,434,0.524844714323331,0.124096857412909,317,2998,Vascular
CN,Cerebrovascular_Venous,Oligodendrocytes,397,0.521557681195417,0.0901096840946313,317,64998,Vascular
CN,Astro_Reactive,Inhibitory,675,0.519899393978657,0.339801846108189,1200,18751,Astrocyte
