group,source,target,n_lr,mean_strength,median_strength,source_n,target_n,source_family
AD,Micro_DAM,Cerebrovascular_Venous,347,0.591398057678711,0.0478348495573627,10413,328,Microglia
AD,Cerebrovascular_SMC,CapEC_ActLow,392,0.589970750050233,0.346220133332908,44,129,Vascular
AD,Cerebrovascular_Venous,Micro_Homeostatic,462,0.579842983607828,0.216020761592351,328,2452,Vascular
AD,Inhibitory,CapEC_ActLow,479,0.575235970852669,0.0759524486137532,18727,129,Neuron
AD,Cerebrovascular_Venous,Oligodendrocytes,398,0.574866502833763,0.0149469182179036,328,80232,Vascular
AD,CapEC_ActLow,CapEC_ActMid,346,0.570367254077474,0.46293188991497,129,154,Vascular
AD,Micro_Homeostatic,CapEC_ActMid,264,0.559115484993131,0.24665937823073,2452,154,Microglia
AD,OPCs,Cerebrovascular_Pericyte,778,0.55617188642253,0.0270948313442232,9583,516,Oligo/OPC
AD,OPCs,Astro_Reactive,658,0.551510536329799,0.0020082665346035,9583,1387,Oligo/OPC
AD,Cerebrovascular_Pericyte,Cerebrovascular_SMC,583,0.550678614916692,0.102356587934172,516,44,Vascular
AD,Cerebrovascular_Venous,Cerebrovascular_SMC,566,0.548866838959428,0.169568086821797,328,44,Vascular
AD,CapEC_ActHigh,Cerebrovascular_Venous,536,0.54764924097934,0.32978962840559,134,328,Vascular
AD,OPCs,Astro_Intermediate,618,0.547087975459472,0.0240402638451221,9583,5602,Oligo/OPC
AD,Oligodendrocytes,Micro_DAM,259,0.54517971385855,0.0,80232,10413,Oligo/OPC
AD,Oligodendrocytes,Micro_Homeostatic,256,0.535482098440334,0.0,80232,2452,Oligo/OPC
AD,Inhibitory,Astro_Homeostatic,682,0.534311124827508,0.229297336677373,18727,7441,Neuron
AD,Astro_Homeostatic,Astro_Intermediate,658,0.532489344375383,0.0779100848021036,7441,5602,Astrocyte
AD,Astro_Reactive,Astro_Reactive,715,0.531745353710178,0.136788686689145,1387,1387,Astrocyte
AD,OPCs,Astro_Homeostatic,637,0.530253473190757,0.0055933021383839,9583,7441,Oligo/OPC
AD,Astro_Reactive,Astro_Intermediate,668,0.527084291842896,0.210497060607037,1387,5602,Astrocyte
