"logFC","logCPM","F","PValue","FDR","gene"
-0.533685503139908,6.31059555402118,8.53604758908158,0.00550591659864188,0.749224770707052,"KLHL7"
0.536741350421163,6.40950449160676,8.48582662869538,0.00564228922878187,0.749224770707052,"HECA"
0.413904543326691,7.11477933529903,8.42339622065456,0.00581835669235777,0.749224770707052,"WAPL"
-0.368264116638744,7.1477338086405,8.3531393314192,0.00600798181081099,0.749224770707052,"JADE1"
-0.413019778121474,8.50470460902462,8.34598359274552,0.00601049724389105,0.749224770707052,"SNRK"
0.576886296141757,7.00852875755189,8.3165401430883,0.00611442220296834,0.749224770707052,"GRASP"
-0.97944088757557,5.79477093018051,8.22323921548582,0.00619095515351735,0.749224770707052,"MMP16"
-0.816267852576263,6.95630753699841,8.28503732077353,0.00619633796170854,0.749224770707052,"CYP7B1"
-0.661335943356336,6.67545954871375,8.27308690195696,0.00622767432497214,0.749224770707052,"TBC1D19"
-0.478063719358138,8.21966227922346,8.26786942408009,0.00623288176954484,0.749224770707052,"UST"
0.655813863160363,6.28214439794044,8.21734506710805,0.00636986748797403,0.749224770707052,"PSMD7"
-0.38748189226363,6.76364277735358,8.21330378487836,0.00640961214487971,0.749224770707052,"USP31"
0.549854796274782,6.90849526935962,8.18976323422544,0.00648395541139493,0.749224770707052,"NOD1"
-0.404461061093325,7.37429917658833,8.16555096186509,0.00654330709334047,0.749224770707052,"SH3KBP1"
0.520728346637023,6.1971840733063,8.08190080936755,0.0067733070378786,0.749224770707052,"CISD1"
1.34837192942878,5.68191671784307,7.9163145170057,0.00692573839753115,0.749224770707052,"MT1A"
-0.757260956498929,6.54233155338292,7.95308005994744,0.00719443706123598,0.749224770707052,"ITGA11"
-0.342879841795399,7.7338320500703,7.94636264644412,0.00724003077933291,0.749224770707052,"DCAF6"
0.699757066893684,6.24448999999062,7.92044203174629,0.00728347944048692,0.749224770707052,"CSF1"
0.707154542375069,9.32190209496778,7.92599675179127,0.00729642728843338,0.749224770707052,"NAMPT"
0.428788234756289,8.12298090865738,7.90270447942716,0.00738287182813518,0.749224770707052,"SUSD6"
0.961378246117354,7.4295939282225,7.86622173926032,0.00752381056028688,0.749645124915856,"TIMP1"
0.62859304314467,6.34707911840298,7.74667000173551,0.00793810009326598,0.765358359708103,"KRT10"
0.619652609735942,7.38553714788599,7.69145747691322,0.00816341751863688,0.765358359708103,"ATP13A3"
-0.288744867968293,7.57796178454151,7.6775358235761,0.00821064239354637,0.765358359708103,"RBPJ"
-0.475496299599486,6.44032644628096,7.67070653005938,0.0082401721209449,0.765358359708103,"FMR1"
-0.640593711153914,6.61305856517511,7.59074413252337,0.00854055860686117,0.772044694946738,"TTLL7"
-0.372857558204601,7.41388667111589,7.58150073944642,0.00859392817367719,0.772044694946738,"CDYL"
-0.651632981232015,8.00043190511285,7.51986648295328,0.00883813382592313,0.774004525461749,"CNTN4"
0.47701171565181,6.67226503384199,7.50958931602956,0.00889822720877558,0.774004525461749,"XPO5"
0.616011198871376,7.07741802693739,7.35022641081194,0.0095947490057046,0.803186437070597,"IER2"
-0.674472255228759,7.51673935430299,7.34182532647468,0.00961759036000131,0.803186437070597,"RIPOR3"
-0.423269364298819,9.0807397685126,7.32419790879664,0.00968430023422599,0.803186437070597,"PLCB1"
0.508016353906346,6.20733191515301,7.29470793324407,0.0098199801612646,0.803186437070597,"ATP6V1D"
-0.518616890751185,6.27834926111634,7.22827607383667,0.0100967577761398,0.813679891371264,"PDE2A"
0.643248316170841,5.99149975925149,7.17382986442023,0.0103457774246881,0.821159616481023,"TSPO"
0.461209203419841,6.20902162277871,7.10947496397929,0.0107360122773068,0.821159616481023,"KCTD10"
-0.42271423470104,8.46575206780355,7.09967523392748,0.0107821792816546,0.821159616481023,"MPDZ"
0.465819485855847,6.71556342225841,7.10339922669781,0.0107889584647142,0.821159616481023,"PSMD14"
-0.729938382973878,6.39998622064935,7.05250091864346,0.0109742545887053,0.823820755426099,"FAM117B"
-0.350687173820069,7.57434313142703,6.94403142599868,0.0116302638361969,0.839428196139842,"ATE1"
-0.358901790069138,7.24253160691806,6.93232882987378,0.0117015836887275,0.839428196139842,"ZDHHC17"
-0.386084759430375,8.71446375402477,6.87541813055475,0.0120039792209465,0.839428196139842,"MYO1B"
1.37338250525954,7.04663939519633,6.80877292504325,0.0121863116431156,0.839428196139842,"THBS1"
-0.310976987863646,8.10669618275181,6.8082238273398,0.0124058908122992,0.839428196139842,"AKAP9"
0.610853140599662,6.57390222185141,6.81022124149252,0.0124104209179818,0.839428196139842,"RNF19B"
0.408959158931857,6.69715620478663,6.79713427619928,0.0125040042885413,0.839428196139842,"CSNK1D"
0.428031085656986,7.09367923334479,6.78885951189524,0.0125464792308077,0.839428196139842,"DYNLRB1"
-0.642232217950663,9.0399043233732,6.74367928583787,0.0127919322347208,0.839428196139842,"GRM3"
-0.443907919384504,7.00499213436882,6.7364348686645,0.0128600193771406,0.839428196139842,"RNF180"
-0.731240063239297,5.82420566152666,6.68691755057707,0.0129263828363844,0.839428196139842,"SEMA6D"
-0.368149473205428,6.61969612319475,6.70746990317349,0.013040888040961,0.839428196139842,"QSER1"
-0.549888656597992,7.26138338844783,6.65040595068793,0.013399897983704,0.839428196139842,"AGRN"
