LR_Pair,communication_strength_max,mean_score,max_score,holonet_db_exact,nvu_priority_score,n_source_target_edges,CN_mean,AD_mean,AD_minus_CN_mean,abs_AD_minus_CN,in_S11_display13,in_Fig7D_display11,n_AD_sections,AD_section_mean,n_CN_sections,CN_section_mean,abs_delta_rank,mean_score_rank,original_FULL02_top24,historical_P_FDR
TGM2:ITGA9,3.80877750513831,0.089025360369134,1.0,False,4,1,0.0836583663275312,0.0943923544107368,0.0107339880832056,0.0107339880832056,False,False,3,0.09439235441073686,3,0.08365836632753125,17,17,True,Not calculated in FULL03/FULL07 or these plotting routines
EDN1:ADGRL4,5.53000649543383,0.0494431273149288,1.0,False,4,2,0.0531547060908517,0.0457315485390059,-0.0074231575518458,0.0074231575518458,False,False,3,0.045731548539005934,3,0.053154706090851746,22,21,True,Not calculated in FULL03/FULL07 or these plotting routines
FN1:ITGA2,3.66284018683941,0.0456192128831227,1.0,False,4,1,0.0406499529811773,0.0505884727850682,0.0099385198038908,0.0099385198038908,False,False,3,0.0505884727850682,3,0.04064995298117733,18,22,True,Not calculated in FULL03/FULL07 or these plotting routines
ANGPT2:TIE1,4.67077082937509,0.040701632847204,1.0,False,4,1,0.0527574431155014,0.0286458225789067,-0.0241116205365947,0.0241116205365947,True,True,3,0.02864582257890669,3,0.0527574431155014,5,23,True,Not calculated in FULL03/FULL07 or these plotting routines
VEGFC:FLT1,4.39084021559002,0.0090002407261764,1.0,False,4,3,0.0178644383579595,0.0001360430943933,-0.0177283952635661,0.0177283952635661,True,True,3,0.000136043094393301,3,0.017864438357959523,9,26,True,Not calculated in FULL03/FULL07 or these plotting routines
VWF:SIRPA,3.98360728722512,0.2753992750569817,1.0,False,3,2,0.2855710959715415,0.2652274541424219,-0.0203436418291196,0.0203436418291196,False,False,3,0.26522745414242194,3,0.2855710959715415,6,1,True,Not calculated in FULL03/FULL07 or these plotting routines
SPARC:FGFR1,3.83342130048246,0.1831182093751856,1.0,False,3,1,0.1678031839553352,0.1984332347950359,0.0306300508397007,0.0306300508397007,True,True,3,0.19843323479503597,3,0.1678031839553352,3,4,True,Not calculated in FULL03/FULL07 or these plotting routines
FN1:MAG,4.46072536580911,0.1645421382556324,1.0,False,3,2,0.157790937325025,0.1712933391862399,0.0135024018612149,0.0135024018612149,True,False,3,0.17129333918623987,3,0.15779093732502494,13,5,True,Not calculated in FULL03/FULL07 or these plotting routines
LGALS3:ENG,3.71494992090924,0.154267097549632,1.0,False,3,1,0.1576820060403798,0.1508521890588841,-0.0068298169814956,0.0068298169814956,False,False,3,0.15085218905888412,3,0.15768200604037977,23,8,True,Not calculated in FULL03/FULL07 or these plotting routines
PDGFB:ADGRV1,4.36124789214048,0.1389323318842845,1.0,False,3,2,0.1341126979552118,0.1437519658133572,0.0096392678581453,0.0096392678581453,False,False,3,0.14375196581335717,3,0.13411269795521183,19,10,True,Not calculated in FULL03/FULL07 or these plotting routines
SORBS1:ITGA1,3.98360728722512,0.1146833105379119,1.0,False,3,3,0.1070657455487026,0.1223008755271212,0.0152351299784185,0.0152351299784185,False,False,3,0.12230087552712123,3,0.10706574554870267,11,13,True,Not calculated in FULL03/FULL07 or these plotting routines
FN1:ROBO4,4.19207994522959,0.0952030456844854,1.0,False,3,1,0.1015667812648935,0.0888393101040772,-0.0127274711608163,0.0127274711608163,False,False,3,0.08883931010407713,3,0.10156678126489355,14,16,True,Not calculated in FULL03/FULL07 or these plotting routines
CFH:ITGAM,3.71077610784202,0.0100331319703038,1.0,False,3,1,0.0001407331290589,0.0199255308115487,0.0197847976824897,0.0197847976824897,False,False,3,0.019925530811548648,3,0.00014073312905887772,7,24,True,Not calculated in FULL03/FULL07 or these plotting routines
ICAM2:ITGAM_ITGB2,3.69625626709721,0.0,0.0,False,3,1,0.0,0.0,0.0,0.0,False,False,3,0.0,3,0.0,27,27,False,Not calculated in FULL03/FULL07 or these plotting routines
GNAI2:S1PR1,4.0992378509831,0.2066077975083744,1.0,False,2,1,0.2079218729494688,0.20529372206728,-0.0026281508821888,0.0026281508821888,False,False,3,0.20529372206727994,3,0.20792187294946882,25,3,False,Not calculated in FULL03/FULL07 or these plotting routines
ANXA1:GRM7,4.43127687263872,0.0961295829035276,1.0,False,2,1,0.0994185253742667,0.0928406404327885,-0.0065778849414781,0.0065778849414781,False,False,3,0.0928406404327885,3,0.09941852537426664,24,15,True,Not calculated in FULL03/FULL07 or these plotting routines
ANXA2:TLR2,3.645583630928,0.0529180382563251,1.0,False,2,1,0.0372632564895303,0.0685728200231199,0.0313095635335895,0.0313095635335895,False,True,3,0.06857282002311986,3,0.0372632564895303,2,20,True,Not calculated in FULL03/FULL07 or these plotting routines
GNAI2:P2RY12,3.933471439823,0.0099322131783801,1.0,False,2,1,6.111751407647692e-05,0.0198033088426837,0.0197421913286073,0.0197421913286073,False,False,3,0.019803308842683758,3,6.111751407647692e-05,8,25,True,Not calculated in FULL03/FULL07 or these plotting routines
