"logFC","logCPM","F","PValue","FDR","Nhood","Subtype","model","compartment"
-0.211972714862919,10.9530982130903,0.161367902094945,0.687901099028776,0.999022457841217,82,"Homeostatic","D1_APOE_sex_adjusted","Microglia"
-0.778303288658788,10.8409243275695,2.38253279996425,0.1227016629742,0.874244748762817,83,"DAM","D1_APOE_sex_adjusted","Microglia"
0.0532013948403068,11.0028535024544,0.0117526126466492,0.913671110904349,0.999440338143846,84,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.211161119008985,10.8459775287339,0.201367337338404,0.693898898824939,0.999022457841217,85,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.205636203912112,10.8423731200017,0.213421851029512,0.644099525070604,0.999022457841217,86,"DAM","D1_APOE_sex_adjusted","Microglia"
0.205859592256644,10.8561817202556,0.186715926449984,0.665665035767131,0.999022457841217,87,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.737219375184662,10.9281406188829,2.43308099406172,0.11880239232305,0.874244748762817,88,"Homeostatic","D1_APOE_sex_adjusted","Microglia"
-0.0407862025020929,11.1956423348531,0.0092670002838504,0.923310096081423,0.999440338143846,89,"Homeostatic","D1_APOE_sex_adjusted","Microglia"
0.0315337990178891,10.8147953008372,0.00632076371770672,0.936632522433008,0.999440338143846,90,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.440664019388496,11.152265260889,0.903035883708842,0.341971299012584,0.955378151637088,91,"DAM","D1_APOE_sex_adjusted","Microglia"
0.240432386933797,11.4672640579529,0.37450433778809,0.540560601404405,0.999022457841217,92,"DAM","D1_APOE_sex_adjusted","Microglia"
0.0138542944065022,11.067495585863,0.00116220381660676,0.97280456580638,0.999440338143846,93,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.575448837165084,10.9352315676232,1.52515364411324,0.21684418427121,0.932142146103894,94,"DAM","D1_APOE_sex_adjusted","Microglia"
0.366726651058227,11.1189748802688,0.668326257055765,0.413637724814133,0.982988611411601,95,"DAM","D1_APOE_sex_adjusted","Microglia"
0.448614744759853,10.9141318547683,0.908231777510727,0.52206323584613,0.999022457841217,96,"DAM","D1_APOE_sex_adjusted","Microglia"
0.382746724562819,11.2398617910544,0.776901800810458,0.378092495060275,0.96408624396603,97,"DAM","D1_APOE_sex_adjusted","Microglia"
0.130282365825809,10.9733995248543,0.0836079055248186,0.772466955156253,0.999022457841217,98,"DAM","D1_APOE_sex_adjusted","Microglia"
0.308507054700112,11.0956046765819,0.46411113368073,0.495710462983698,0.999022457841217,99,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.971051163614321,10.9300106293763,4.0797029830058,0.0434039732928254,0.757133964169214,100,"DAM","D1_APOE_sex_adjusted","Microglia"
0.601589680362628,10.9336054632968,1.5558688701447,0.212274071598097,0.931213088396878,101,"DAM","D1_APOE_sex_adjusted","Microglia"
1.17133401751169,10.9507024620833,5.9819183839841,0.0144549997975071,0.570097954547715,102,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.239709379029993,10.8383164645133,0.266595739292306,0.642966837555463,0.999022457841217,103,"Homeostatic","D1_APOE_sex_adjusted","Microglia"
0.12131425598494,11.0104325853502,0.0673513029176068,0.795233592271357,0.999022457841217,104,"DAM","D1_APOE_sex_adjusted","Microglia"
0.42549745030634,11.3131108979836,1.04049932970814,0.307707859771097,0.95524324784296,105,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.0527043603600758,11.1631309156604,0.0119677814466086,0.912887561838455,0.999440338143846,106,"DAM","D1_APOE_sex_adjusted","Microglia"
0.15008163503741,11.0775668674744,0.114535237983711,0.735039471451717,0.999022457841217,107,"DAM","D1_APOE_sex_adjusted","Microglia"
-0.102680732807353,11.1508382854515,0.0553840960173091,0.813946688987691,0.999440338143846,108,"Homeostatic","D1_APOE_sex_adjusted","Microglia"
-0.0635082569281617,10.9313570758807,0.0181105956371927,0.892947697433105,0.999440338143846,109,"Homeostatic","D1_APOE_sex_adjusted","Microglia"
-0.183665803348961,11.1645775614042,0.171483017183102,0.678798048972763,0.999022457841217,110,"Homeostatic","D1_APOE_sex_adjusted","Microglia"
0.711860287458871,11.1233879607374,2.43240349737121,0.118853738249152,0.874244748762817,111,"DAM","D1_APOE_sex_adjusted","Microglia"
