dataset,donor_id,Cooks_distance,hat
MTG_Endothelial,H20.33.036,0.0054246860109433675,0.11583712747040309
MTG_Endothelial,H20.33.037,0.011522313039852778,0.08628855785781084
MTG_Endothelial,H20.33.038,0.0037699251725614876,0.0695239542603085
MTG_Endothelial,H20.33.039,0.0014301117770663643,0.10385700680949432
MTG_Endothelial,H20.33.040,0.0032876628851922912,0.09759175310233258
MTG_Endothelial,H20.33.041,0.0023663138052680325,0.05130880266128867
MTG_Endothelial,H20.33.043,0.001490876881225002,0.17305224380907336
MTG_Endothelial,H20.33.044,0.00037940480927237905,0.12745299489770778
MTG_Endothelial,H20.33.045,0.0023008396350275113,0.13351809468882123
MTG_Endothelial,H20.33.046,0.006572342247909182,0.108614787134725
MTG_Endothelial,H21.33.001,0.25250876607293815,0.12777222237860653
MTG_Endothelial,H21.33.002,0.0008767268693811701,0.14355934708821524
MTG_Endothelial,H21.33.003,0.00014046978943182538,0.11600819195497178
MTG_Endothelial,H21.33.004,1.7208333845503978e-05,0.10837373507370923
MTG_Endothelial,H21.33.005,0.00648039336505388,0.08591569005583427
MTG_Endothelial,H21.33.007,0.047105266729234097,0.05769772638891471
MTG_Endothelial,H21.33.008,0.004818118513575149,0.09581375980105258
MTG_Endothelial,H21.33.009,0.0035331200993333704,0.17494570852748095
MTG_Endothelial,H21.33.010,0.005640335102771956,0.0627090215915327
MTG_Endothelial,H21.33.011,0.0004692998684733531,0.08817828184095855
MTG_Endothelial,H21.33.012,0.01223030119088303,0.13365077501717865
MTG_Endothelial,H21.33.013,0.2090438151006285,0.07045175751016713
MTG_Endothelial,H21.33.014,0.0008093973076537733,0.09895517991548478
MTG_Endothelial,H21.33.015,0.00015925490203738782,0.0908542435582095
MTG_Endothelial,H21.33.017,0.0035032587235655304,0.09355624612774738
MTG_Endothelial,H21.33.018,0.008728343821012905,0.10130181941382874
MTG_Endothelial,H21.33.019,4.620916397837232e-05,0.14399522439366963
MTG_Endothelial,H21.33.020,0.0220789107540811,0.24467886542510922
MTG_Endothelial,H21.33.021,0.004728883615336585,0.095761156421797
MTG_Endothelial,H21.33.022,0.0001601134117469445,0.07665241576748674
MTG_Endothelial,H21.33.023,0.00019672625715578068,0.09543408536595588
MTG_Endothelial,H21.33.025,0.0001313836666317214,0.060807560774428324
MTG_Endothelial,H21.33.026,1.8595218391758112e-05,0.06958743669584573
MTG_Endothelial,H21.33.027,0.048496774993715235,0.07068111905234943
MTG_Endothelial,H21.33.028,0.0009696120954314091,0.1455625992961275
MTG_Endothelial,H21.33.029,0.02062180788705127,0.15670846057621363
MTG_Endothelial,H21.33.030,0.0001871907916698985,0.07709697874979632
MTG_Endothelial,H21.33.031,0.002633132773724621,0.06915545490597547
MTG_Endothelial,H21.33.032,7.376824901655812e-05,0.0637553817057008
MTG_Endothelial,H21.33.033,0.00422038623274297,0.13055907143361078
MTG_Endothelial,H21.33.034,0.11270954147975487,0.2605051750556552
MTG_Endothelial,H21.33.035,3.514561981574563e-05,0.0609613232840662
MTG_Endothelial,H21.33.037,0.0009228797566445247,0.11534258630492528
MTG_Endothelial,H21.33.038,0.0008004771554109744,0.1083550271943401
MTG_Endothelial,H21.33.040,0.0004315642814414231,0.0903478620878681
MTG_Endothelial,H21.33.041,0.01833386665881261,0.09169165414048772
MTG_Endothelial,H21.33.042,0.014926107557080338,0.14869987276680519
MTG_Endothelial,H21.33.043,0.0035640866085400917,0.07449703447769676
MTG_Endothelial,H21.33.044,0.0025452630186335863,0.05290801003199391
MTG_Endothelial,H21.33.045,0.0045266298944016126,0.09067199740817605
MTG_Endothelial,H21.33.046,0.003866494918987136,0.0775053217541579
MTG_Endothelial,H21.33.047,0.0003774040830801182,0.070795219759383
MTG_VLMC,H19.33.004,0.011571650678328695,0.07617784399967203
MTG_VLMC,H20.33.001,0.001756580735445865,0.06095427124922699
MTG_VLMC,H20.33.002,0.0006150788790291895,0.11225851945164514
MTG_VLMC,H20.33.004,3.048651851628306e-06,0.061735947273656236
MTG_VLMC,H20.33.005,5.6571480247817836e-05,0.08488932726830953
