"Nhood","UMAP1","UMAP2","Size","logFC","PValue","SpatialFDR","SigCat","Direction","Subtype","SubtypePurity"
137,1.76245427448197,22.1470461599443,22,-2.57303999544178,0.000676388885967488,0.00650621690311583,"FDR<0.01","CN-enriched","SMC",1
138,1.49152964721224,-7.3515134581337,53,0.155340402864265,0.70812009127732,0.9233569293266,"NS","NS","Pericyte",1
139,6.5649547969799,12.9472738995385,96,-2.51737959517907,0.000146349902966373,0.00408593641906548,"FDR<0.01","CN-enriched","SMC",1
140,-6.52861173424685,2.87206406479256,28,0.462661896065507,0.319485382392526,0.831348721464687,"NS","NS","Capillary",0.928571428571429
141,0.572759393042759,-8.08687918261551,33,-0.194256941494512,0.675700047948452,0.9233569293266,"NS","NS","Pericyte",1
142,13.0968084623652,-6.14750484525945,38,0.355419815710531,0.424709697665806,0.861410911511745,"NS","NS","Venous",1
143,1.76382409157032,21.093922531694,36,-3.17876134172562,0.000546269853499299,0.00615864547166927,"FDR<0.01","CN-enriched","SMC",1
144,-9.38127416196238,3.99503949448011,27,-0.0827150307576538,0.85642594652756,0.968055723352165,"NS","NS","Capillary",1
145,4.27604815242772,9.93002221542302,52,-0.802684625023555,0.0546021878168083,0.282811331769109,"NS","NS","SMC",1
146,-12.2619581747688,0.0554270987374522,58,0.401133018382077,0.349673978179823,0.831348721464687,"NS","NS","Pericyte",1
147,6.73729522978273,12.7506082548928,43,-1.92640231717666,0.000552968160247171,0.00615864547166927,"FDR<0.01","CN-enriched","SMC",1
148,-11.9872647130985,-0.629326450073199,36,-0.153648820376484,0.734845748900927,0.924432565328424,"NS","NS","Pericyte",1
149,-7.3669247443883,5.02920772953965,55,0.495732709553183,0.226839662392059,0.75117396398682,"NS","NS","Capillary",1
150,0.229712871205061,-8.11949081279517,34,-0.13674985227985,0.768407038107747,0.946452571327835,"NS","NS","Pericyte",1
151,-11.0525828640523,0.451546970097187,33,0.334065817610576,0.470246816068234,0.862601273379847,"NS","NS","Pericyte",0.96969696969697
152,13.5072530156935,-6.38294126288075,47,-0.274376829718262,0.517778417959669,0.914046397986868,"NS","NS","Venous",1
153,-8.79071273167211,3.74615272538468,42,0.235010543051396,0.573672347081121,0.9233569293266,"NS","NS","Capillary",1
154,12.0451770959653,-5.31376445492643,28,0.0742830213491124,0.996292457218056,0.996292457218056,"NS","NS","Pericyte",0.607142857142857
155,13.7325061599359,-4.89032411963755,54,-0.241144221213701,0.559872484910368,0.9233569293266,"NS","NS","Venous",1
156,-4.87970656048404,3.52394037388085,39,0.286322654406455,0.478273973359123,0.862601273379847,"NS","NS","Venous",1
157,4.38652564185723,10.0706921066098,49,-1.05333277257412,0.0127150728544767,0.111671509417578,"NS","NS","SMC",1
158,14.4738528118508,-6.15541530043894,63,-0.230695720185146,0.572551210431023,0.9233569293266,"NS","NS","Venous",1
159,1.73608276998011,21.956614257319,40,-3.32004323666613,0.00059650291940465,0.00615864547166927,"FDR<0.01","CN-enriched","SMC",1
160,-7.56316685721271,7.78164889357804,48,-0.395293567618957,0.317072927218738,0.831348721464687,"NS","NS","Capillary",1
161,-6.86948836255698,3.7142797296386,33,0.200677976330644,0.655697611088297,0.9233569293266,"NS","NS","Capillary",1
162,-6.82012155606432,4.81954389301711,44,0.453405880436194,0.259863563152911,0.760759996476637,"NS","NS","Capillary",1
163,1.76267375323364,21.4131945826479,33,-3.06534590899282,0.000527010389871083,0.00615864547166927,"FDR<0.01","CN-enriched","SMC",1
164,1.70037912848169,-5.79166017597167,37,-0.312188157648606,0.473889569613616,0.862601273379847,"NS","NS","Pericyte",1
165,13.5109684992665,-6.15267497027266,36,0.111897846464023,0.800486786222642,0.95679485690517,"NS","NS","Venous",1
166,-8.88538772309813,3.39968434117555,40,0.278150186215873,0.530373968165721,0.915688389482698,"NS","NS","Capillary",1
167,1.80659698172647,21.8195247957723,26,-2.77226161169458,0.000609766878383096,0.00615864547166927,"FDR<0.01","CN-enriched","SMC",1
168,6.74536776085121,12.8967984151735,77,-2.33273544585437,0.000161819264121405,0.00408593641906548,"FDR<0.01","CN-enriched","SMC",1
169,0.48926892179116,-8.01722317962954,35,-0.181310351791449,0.691659481882503,0.9233569293266,"NS","NS","Pericyte",1
170,-12.0087820143156,0.465646099967947,26,0.339539384301658,0.461950267235867,0.862601273379847,"NS","NS","Pericyte",0.961538461538462
171,-12.1140376121348,-0.623229181115083,43,0.726736848840017,0.0803977724124719,0.3961060982273,"NS","NS","Pericyte",1
172,0.467916285199172,-8.02394477454073,23,0.242660419477152,0.588853358240131,0.9233569293266,"NS","NS","Pericyte",1
173,1.45398689406976,-5.87648500573602,35,-0.182889408068213,0.68225636856973,0.9233569293266,"NS","NS","Pericyte",1
