"sample_id","group","RHBDF2","SLC38A11","PDGFRB","PTH1R","DGKB","GPC5","RNF152","GRM8","SLC6A12","INPP4B","CPM","CNTN4","GJC1","PDE7B","PLCE1","GRM3","COL4A3","CACNA1C"
"GSM3896013","CN",7.68829668925,7.228677531,10.290344,8.1835945345,6.69863165333333,10.06815541,6.330613556,6.8175252185,8.932160186,6.631609984,6.34072983475,6.142656173,10.065140276,9.131453373,7.393711291,9.942006462,6.351818085,6.395004739
"GSM3896014","CN",7.21212357975,7.233340974,9.613234727,7.576967655,7.29026373133333,9.885538758,6.410639024,7.37553858,8.216596111,7.190240227,6.25514985125,6.250740043,9.950208317,8.828924141,7.492553124,10.395538159,6.297308157,6.54451953816667
"GSM3896015","CN",6.7586512035,7.05781916,8.903086483,7.255872299,7.65816169666667,9.094602897,6.396029279,7.4612083365,7.68574423,7.523852004,6.288373693,6.411866174,10.0232527335,8.96259232,7.064941469,10.0999180865,6.3212065265,6.68033482983333
"GSM3896016","CN",6.99798165975,7.567591486,9.370977287,7.5262098925,7.560830471,9.659839925,6.232489723,7.3543749335,7.675009945,7.194781851,6.32143961425,6.2705891295,10.012882016,8.63389438,7.481884697,10.2774805585,6.2771213625,6.63486467616667
"GSM3896017","CN",7.13306719175,7.545096159,9.424864034,7.6484456725,7.36704003533333,9.601493743,6.278309841,7.3962810205,7.821955874,7.283247959,6.3073652455,6.3136756795,10.00142989,8.699994882,7.284057709,10.300816243,6.268865144,6.61553714666667
"GSM3896018","CN",6.9694918025,7.591336141,9.121661461,7.5788480085,7.60892449033333,8.76187675,6.26355497,7.48500558,7.823407949,7.11965847,6.2733190715,6.2716567365,10.0210698135,9.029947241,7.332215666,9.9331733245,6.282351415,6.6826733755
"GSM3896019","CN",7.323768003,7.040274146,8.922532001,7.886462155,7.871709368,8.323115243,6.262727876,7.156878761,8.265260386,7.198883333,6.4173124265,6.2730347995,10.00729732,9.04720528,6.957647671,9.822639064,6.1946228095,6.80168869516667
"GSM3896020","CN",7.20060261225,7.610429412,9.102604345,7.4732744575,7.38711024833333,9.100050744,6.250158367,7.4404907275,7.757429905,7.269255195,6.2769922875,6.4179231825,10.057296892,8.600906502,7.198022659,10.222135086,6.3071434805,6.67399909683333
"GSM3896021","CN",7.62462947275,7.270153114,9.630791279,8.3701206665,7.661700497,8.466279699,6.195742144,6.6534459325,8.479897666,6.671529297,6.39001374475,6.165316467,10.006988502,9.044021383,7.652346014,9.675887403,6.176329707,6.84694470233333
"GSM3896022","CN",7.0587601135,7.292099292,9.303354842,7.289880606,7.663712261,9.009496477,6.196055515,7.4330796955,7.673233316,7.532818293,6.2737374635,6.4136208885,9.991820322,8.707026652,7.171262471,9.8848236005,6.297957455,6.73068739133333
"GSM3896023","CN",7.716532781,7.220245594,10.37074436,8.3520069475,7.41298579866667,9.301649272,6.265152602,7.100214005,9.071758446,6.826477775,6.4491737235,6.2081357935,10.0174503535,8.768855962,7.229656903,10.2202118225,6.200614591,6.72884309066667
"GSM3896024","CN",6.9568455205,7.584967783,8.624599339,7.22180738,7.79631023866667,8.976647795,6.235006826,7.4698770805,7.477256083,7.777696252,6.24805441875,6.655812572,9.965494647,9.146556281,7.233958825,9.627520581,6.2771682075,6.69645912766667
"GSM3896025","CN",7.034952321,7.385595987,8.870894587,7.5182832615,7.49323344266667,9.43257008,6.247391144,7.5003032305,7.378244482,7.520013824,6.25240099125,6.474985649,9.9358771815,8.769506987,7.076810377,9.7488404135,6.330036141,6.64661204916667
"GSM3896026","CN",6.87463085625,6.878753782,8.404620595,7.07026364,7.89181631366667,9.097713973,6.178786593,7.501072616,7.103160098,7.760292731,6.24283500275,6.645845804,9.8628253855,8.10734749,7.036810426,9.622677093,6.279159564,6.73400471733333
"GSM3896027","CN",7.57182663525,7.60641339,10.48866145,8.5113835295,7.50661196666667,9.561745837,6.225026811,7.0168292075,9.391148573,6.824918463,6.36367887975,6.3198162525,10.0272806025,9.427757305,7.754033043,10.2506381855,6.2384349005,6.73754168516667
"GSM3896028","CN",7.3740644175,7.314681769,9.892766781,7.9346121615,7.430062485,9.098598119,6.279560976,7.1559355235,8.182398938,6.851096421,6.345185355,6.215596064,9.8160933055,8.982538748,7.670395536,9.577727388,6.42215008,6.62907964066667
"GSM3896029","CN",7.15051308925,7.966968156,9.266356653,7.5177701705,7.65043251666667,9.580745529,6.209198909,7.421438499,7.214969908,7.299397804,6.3020490985,6.4228549105,9.9969907335,8.919669807,7.350671713,10.07220488,6.314427389,6.71060586416667
"GSM3896030","CN",7.09562576075,7.072049199,9.592750732,7.6770455255,7.504060749,8.833856268,6.260900807,7.5421538145,8.615184034,7.199711517,6.34391867775,6.253470379,9.9566447945,9.425458853,7.166168953,10.46377838,6.224988182,6.81566826283333
"GSM3896031","CN",7.1307592585,7.980596939,9.025832331,7.5489160985,7.62572538166667,9.677074097,6.256768082,7.3920399885,7.46632487,7.349317537,6.260277813,6.48562228,10.091934575,8.98861814,7.352539118,10.062286167,6.445476973,6.70212335016667
"GSM3896032","AD",7.818913284,7.430734866,10.53620576,8.4450650635,7.339492169,9.030192826,6.225940184,6.885368613,9.423531139,6.880297149,6.477605882,6.3043995935,9.9991987325,8.836177317,8.10734749,9.997915203,6.203821601,6.67852490066667
"GSM3896033","AD",7.4199968865,7.239413388,9.945274729,8.3119226385,7.30964164733333,8.941734871,6.197288526,6.915585711,8.366037067,6.878035014,6.345386985,6.1789078025,9.984082011,9.21270248,7.48320407,10.0026828005,6.180627919,6.72909227933333
"GSM3896034","AD",7.67879545625,7.695047937,10.51954782,8.3816287225,7.209961993,9.333156512,6.237258001,6.7858776825,9.804127255,6.947937691,6.4062924655,6.1634466165,10.0076065355,9.526349032,8.172553299,10.2310932625,6.2698314245,6.70700643883333
