ligand_clean,ligand,n_lr_edges,max_delta_AD_vs_CN,mean_delta_AD_vs_CN,source_families,source_cellstates,target_cellstates,lr_pair_examples,aupr,AUPR_rank,input_top20,displayed_Fig8A
SEMA3B,SEMA3B,34,1.34981320172728,0.4665086969184185,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,SEMA3B - NRP1/PLXNA1;SEMA3B - NRP1/PLXNA2;SEMA3B - NRP1/PLXNA3;SEMA3B - NRP2/PLXNA1;SEMA3B - NRP2/PLXNA2,0.0319362539509948,127,False,False
TNC,TNC,41,1.34132257027205,0.5321653386122377,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,TNC - CNTN1;TNC - EGFR;TNC - ITGA2;TNC - ITGA5;TNC - ITGA7,0.0324266059937715,109,False,False
EFNA5,EFNA5,30,1.32909560485054,0.2523775237086278,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,EFNA5 - EPHA2;EFNA5 - EPHA3;EFNA5 - EPHA4;EFNA5 - EPHA5;EFNA5 - EPHA7,0.0329630727715713,89,False,False
PDGFC,PDGFC,23,1.30913336828501,0.455095854242488,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,PDGFC - FLT1;PDGFC - FLT4;PDGFC - KDR;PDGFC - PDGFRA;PDGFC - PDGFRB,0.0398817363025273,9,True,False
AIMP1,AIMP1,3,1.30273152617716,0.5688309333039523,Astrocyte;Microglia,Astro_Intermediate;Micro_DAM;Micro_Homeostatic,Cerebrovascular_Venous,AIMP1 - NTRK1,0.0310312958666319,147,False,False
COL6A2,COL6A2,28,1.29768315573653,0.3338139310439502,Astrocyte,Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL6A2 - ITGA1/ITGB1;COL6A2 - ITGA10/ITGB1;COL6A2 - ITGA11/ITGB1;COL6A2 - ITGA2/ITGB1;COL6A2 - ITGA3/ITGB1,0.0339497048361748,56,False,False
B2M,B2M,12,1.2969522254085268,0.5019023676024115,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,B2M - KLRD1;B2M - TFRC,0.0431779387907239,6,True,False
ANGPT1,ANGPT1,34,1.281427706197701,0.5763695280182293,Astrocyte,Astro_Homeostatic;Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ANGPT1 - ITGA5;ANGPT1 - ITGB1;ANGPT1 - TEK;ANGPT1 - TIE1,0.0402478904834386,8,True,True
SPP1,SPP1,29,1.2684544987123498,0.3578308703764563,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,SPP1 - CD44;SPP1 - ITGA4/ITGB1;SPP1 - ITGA5/ITGB1;SPP1 - ITGA8/ITGB1;SPP1 - ITGA9/ITGB1,0.0341667087990212,50,False,False
GPI,GPI,11,1.2661828753612467,0.2142893020838105,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM,CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,GPI - AMFR;GPI - NTRK1,0.0323149224388743,113,False,False
