"logFC","logCPM","F","PValue","FDR","gene"
-0.568371490437205,6.86124992158094,6.6003906936759,0.012947113439763,0.908262525040509,"JAM3"
0.528687099420127,6.38622046500433,6.53620944108293,0.0133547769223558,0.908262525040509,"SCAND1"
0.830568574921746,6.51577553047379,6.51031315688701,0.0134293113797941,0.908262525040509,"C2orf83"
0.487310603785958,6.10817421539563,6.47592969432744,0.0137370732508245,0.908262525040509,"NENF"
0.380142980254275,6.21371271653317,6.47525705549417,0.0137640448346085,0.908262525040509,"IPO11"
0.633512723250171,7.71475355477199,6.46708307373818,0.0138358665739037,0.908262525040509,"HSPA5"
-0.69424225688018,5.85768322646285,6.43858185252393,0.0139364383989562,0.908262525040509,"SEMA6D"
0.439389648837141,6.31105810682199,6.40337028200424,0.0142722601219042,0.908262525040509,"B3GNT2"
0.555174463509193,6.01425264609808,6.39379963085346,0.014291715963451,0.908262525040509,"DBI"
0.857110639090676,7.00774962299015,6.35547608940781,0.0146212412446658,0.908262525040509,"GBP4"
-0.334455233289456,8.93377934257069,6.35345948801639,0.0146329734677669,0.908262525040509,"MAST4"
-0.326150769145981,6.75298237956143,6.34920555627297,0.0146980905177535,0.908262525040509,"USP31"
-0.464346577551115,6.5595927240478,6.33661286174899,0.0147829612767687,0.908262525040509,"PRDM5"
-0.317654901983386,6.85096619613133,6.31614602819895,0.0149439153033121,0.908262525040509,"SERGEF"
0.484682940892677,6.06780397996169,6.28076769254818,0.0151441506276927,0.908262525040509,"MED1"
-0.543509226787945,7.85386531714135,6.28244769332175,0.0151793739658063,0.908262525040509,"SMAD6"
-0.360037091778484,6.1673137182806,6.2810610284826,0.0151806635594801,0.908262525040509,"CNOT10"
-0.389440794716812,6.09878655851356,6.25559546441815,0.0153627136140287,0.908262525040509,"TRMT11"
0.349350344068679,6.96189627542171,6.14458130741253,0.0162965884444901,0.908262525040509,"KBTBD2"
0.320567842956594,7.05399794437125,6.14152317834612,0.0163205379918299,0.908262525040509,"LEMD3"
0.576590337596572,6.04468688665356,6.11421270789632,0.0164682527185036,0.908262525040509,"OPA3"
-0.481052780603767,7.08104152864137,6.07535942753382,0.0168768445962634,0.908262525040509,"GUCY1B1"
0.371446131346709,7.50340009971287,6.07397309924684,0.0168795555189926,0.908262525040509,"CCNL1"
-0.35163077567701,7.86668521477644,6.04226741853599,0.0171438841961388,0.908262525040509,"DIAPH2"
0.306683888836472,8.2598664494988,6.0202366825381,0.017331272848761,0.908262525040509,"RASSF8"
-0.450990671943579,6.8818011608275,6.00420988053412,0.0175015739531392,0.908262525040509,"PLEKHA2"
-0.320621142163588,6.74584916748214,5.93886557156191,0.0180947576490773,0.908262525040509,"DCTN4"
0.847223085650702,7.56892135368562,5.93274070691062,0.0181386111350815,0.908262525040509,"PLP1"
-0.419976863419504,6.31584158624407,5.93027959525796,0.0181566470096805,0.908262525040509,"STX17"
-0.493835062603549,6.91498440305385,5.89848066124275,0.0184709892666361,0.908262525040509,"AF117829.1"
-0.517452955448542,6.15282540481798,5.86832420298458,0.0187166481588491,0.908262525040509,"PIGL"
0.358572888852497,6.73915175689758,5.85734648501273,0.0188589348672527,0.908262525040509,"CMPK1"
-0.402599731626004,6.52774031494958,5.84864368378913,0.0189406569551579,0.908262525040509,"NFATC4"
0.35490553062708,7.95054905335649,5.8386768224029,0.019021379848362,0.908262525040509,"CYTH1"
-0.349365062352524,7.96122899235743,5.82917132824104,0.019113604380582,0.908262525040509,"CCDC91"
-0.440502540540119,8.22566147370253,5.81887576018923,0.0192108772096347,0.908262525040509,"MAP2"
0.838308827289835,6.43895016565649,5.77940298010786,0.0195915118350472,0.908262525040509,"IER3"
-0.268622324992694,8.53375117200707,5.77681322458122,0.0196260617641639,0.908262525040509,"ARHGEF7"
-0.30228032359827,7.66558388117164,5.77161493153822,0.0196930794352996,0.908262525040509,"RAB3GAP2"
0.282963381761453,7.21684943025949,5.72131238999208,0.0202217696038385,0.908262525040509,"TUT7"
-0.720138910934582,6.03693777973791,5.65943613517754,0.020759080117833,0.908262525040509,"IQCH-AS1"
-0.439775174339335,6.20878383376893,5.66276875067007,0.0208152979855661,0.908262525040509,"ZER1"
-1.15089027653334,6.14215369828398,5.64441919224588,0.0208453790162995,0.908262525040509,"OPCML"
0.385547022703627,6.34636796218212,5.65041298427932,0.0209529142330078,0.908262525040509,"LRP10"
-0.334708071098411,8.75539966053662,5.61944750859139,0.0212805981866491,0.908262525040509,"MYO1B"
-0.367658864930231,7.04518634945835,5.59488417910033,0.0215858023568093,0.908262525040509,"RNF180"
0.385456664221678,7.21075337649391,5.57876643470717,0.0217639337139726,0.908262525040509,"RCL1"
0.621295718509628,6.08370004186692,5.56007916193248,0.0218537256728439,0.908262525040509,"APOL6"
0.578525779275199,6.69750977786133,5.56834885167799,0.0218596272536863,0.908262525040509,"AIF1L"
0.432326935938455,6.11099362615194,5.56303495359937,0.0218662380092572,0.908262525040509,"CISD1"
-0.341982722870287,7.53315830129295,5.56030777295969,0.0219621034976673,0.908262525040509,"ZDHHC21"
0.805874041541184,6.25128128873445,5.55534374273155,0.0219739218284353,0.908262525040509,"NFIL3"
0.545687299754978,5.95047845579346,5.53896924141484,0.0220994311984635,0.908262525040509,"TSPO"
-0.420190164888872,7.24749872556612,5.51971256789187,0.0224360917554889,0.908262525040509,"TTC7B"
-0.446334376002669,7.32743567355331,5.51002630820534,0.0225464829296284,0.908262525040509,"AGRN"
0.472004676947474,7.64565372842404,5.50302778026723,0.0226217711146207,0.908262525040509,"GSTP1"
-0.302374289332674,6.67665514931056,5.48623100790905,0.0228399588498931,0.908262525040509,"IDE"
0.321990264441905,6.90004452744668,5.47451104071269,0.0229773131970444,0.908262525040509,"HBP1"
-0.322094783479381,6.5882819065553,5.46391944764074,0.0231044104278067,0.908262525040509,"HERPUD2"
-0.271786325756948,8.11455926105146,5.44275993007213,0.0233281359054762,0.908262525040509,"SH3RF1"
0.433735391562592,8.26065212810745,5.42058988208597,0.0235968354546914,0.908262525040509,"STAU2"
-0.566455135497625,5.88380662462462,5.40697514186497,0.0236189183091427,0.908262525040509,"POU6F2"
0.300737281823403,6.61532633357261,5.41708984511564,0.0236712702484616,0.908262525040509,"HADHA"
0.34547274933227,6.4942397132023,5.40929788059791,0.0237604984355171,0.908262525040509,"DUSP22"
0.596172517689705,5.94437784642739,5.37791418010882,0.0239958760430887,0.908262525040509,"FAM110D"
-0.297227294754492,8.90371195310298,5.3282281184808,0.0247528371138731,0.908262525040509,"TPM1"
-0.535183261038656,5.98372069138443,5.32367881898582,0.0247574235640829,0.908262525040509,"EFCAB13"
0.362329658297538,8.63587998082393,5.31747405521388,0.0248938536611291,0.908262525040509,"CEMIP2"
