sample,group,source,target,LR_Pair,panel,n_spots,ligand_detected_fraction,receptor_detected_fraction,all_subunits_available,missing_subunits,mean_spatial_score
2-5,CN,CapEC_ActHigh,CapEC_ActMid,ANGPT2:TEK,6D,4282,0.09574964969640355,0.1546006539000467,True,,0.10398904213801588
2-5,CN,CapEC_ActHigh,CapEC_ActMid,ANGPT2:ITGA5/ITGB1,6D,4282,0.09574964969640355,0.025455394675385334,True,,0.00021583481597203154
2-5,CN,CapEC_ActHigh,CapEC_ActHigh,ANGPT2:TEK,6D,4282,0.09574964969640355,0.1546006539000467,True,,0.10398904213801588
2-5,CN,CapEC_ActHigh,CapEC_ActLow,EDN1:ADGRL4,6D,4282,0.17865483418963102,0.07543204110228865,True,,0.10485271268801725
2-3,AD,Astro_Intermediate,CapEC_ActMid,TGFB2:ACVR1C/TGFBR2,6C,4333,0.048003692591737826,0.015462727902146318,True,,3.1117346969164154e-06
2-3,AD,Cerebrovascular_Pericyte,Astro_Reactive,COL1A1:CD44,6C,4333,0.004846526655896607,0.11954765751211632,True,,8.791491140806985e-05
2-3,AD,CapEC_ActLow,Astro_Reactive,HBEGF:CD44,6C,4333,0.0696976690514655,0.11954765751211632,True,,6.765905825169265e-05
2-3,AD,Inhibitory,CapEC_ActHigh,SLIT2:ROBO4,6C,4333,0.1966305100392338,0.06554350334641126,True,,0.06285203824287913
2-3,AD,CapEC_ActHigh,Excitatory,CXCL10:DPP4,6C,4333,0.012924071082390954,0.016385875836602816,True,,1.6965346360492266e-05
2-3,AD,Micro_DAM,CapEC_ActMid,TGFB1:ACVR1C/TGFBR2,6C,4333,0.1594738056773598,0.015462727902146318,True,,4.472275793702274e-05
2-3,AD,Astro_Reactive,CapEC_ActMid,TGFB2:ACVR1C/TGFBR2,6C,4333,0.048003692591737826,0.015462727902146318,True,,9.535816873864425e-07
2-3,AD,CapEC_ActHigh,OPCs,VWF:TNFRSF11B,6C,4333,0.4186475882760212,0.03669513039464574,True,,0.07621261989009852
2-3,AD,Oligodendrocytes,CapEC_ActMid,COL4A5:CD93,6C,4333,0.1260096930533118,0.0496192014770367,True,,0.060329199458560356
2-3,AD,Astro_Homeostatic,CapEC_ActMid,TGFB2:ACVR1C/TGFBR2,6C,4333,0.048003692591737826,0.015462727902146318,True,,6.19915747909753e-06
2-3,AD,CapEC_ActHigh,Cerebrovascular_Pericyte,ADM:PTH1R,6D,4333,0.03784906531271636,0.2437110546965151,True,,0.07562264049355853
2-3,AD,CapEC_ActHigh,CapEC_ActHigh,ANGPT2:ITGA5/ITGB1,6D,4333,0.16085852757904454,0.02607892914839603,True,,0.00015117176124505448
