sample,group,LR_Pair,source,target,ligand,receptor,communication_strength,nvu_priority_score,n_source_target_edges,holonet_db_exact,support_status,support_reason,ligand_in_var,receptor_in_var,ligand_detected_frac,receptor_detected_frac,spatial_score_mean,spatial_score_max,official_ce_mean,official_ce_hotspot_mean,official_ce_hotspot_max,top_ce_contributor
1-1,CN,FN1:MAG,CapEC_ActHigh,Oligodendrocytes,FN1,MAG,4.46072536580911,3,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.1873315363881401,0.5148247978436657,0.1474170286415894,1.0,,,,
1-1,CN,PDGFB:ADGRV1,CapEC_ActHigh,Astrocytes,PDGFB,ADGRV1,4.36124789214048,3,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0851752021563342,0.1566037735849056,0.0866889177417648,1.0,,,,
1-1,CN,FN1:ROBO4,CapEC_ActHigh,CapEC_ActHigh,FN1,ROBO4,4.19207994522959,3,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.1873315363881401,0.0215633423180593,0.0510335233124619,1.0,,,,
1-1,CN,SORBS1:ITGA1,CapEC_ActMid,CapEC_ActHigh,SORBS1,ITGA1,3.98360728722512,3,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.3959568733153639,0.0242587601078167,0.0682509731416557,1.0,,,,
1-1,CN,VWF:SIRPA,CapEC_ActHigh,Excitatory,VWF,SIRPA,3.98360728722512,3,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.1501347708894878,0.6876010781671159,0.1519113949857274,1.0,,,,
1-1,CN,SORBS1:ITGA1,CapEC_ActHigh,CapEC_ActHigh,SORBS1,ITGA1,3.96717039385805,3,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.3959568733153639,0.0242587601078167,0.0682509731416557,1.0,,,,
1-1,CN,SORBS1:ITGA1,CapEC_ActLow,CapEC_ActHigh,SORBS1,ITGA1,3.95700302477388,3,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.3959568733153639,0.0242587601078167,0.0682509731416557,1.0,,,,
1-1,CN,VWF:SIRPA,CapEC_ActMid,Excitatory,VWF,SIRPA,3.90344712748931,3,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.1501347708894878,0.6876010781671159,0.1519113949857274,1.0,,,,
1-1,CN,VWF:SIRPA,CapEC_ActHigh,Astrocytes,VWF,SIRPA,3.86328298116282,3,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.1501347708894878,0.6876010781671159,0.1558507421024093,1.0,,,,
1-1,CN,SPARC:FGFR1,CapEC_ActHigh,OPCs,SPARC,FGFR1,3.83342130048246,3,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.4207547169811321,0.1398921832884097,0.1300863182471976,1.0,,,,
1-1,CN,FN1:MAG,CapEC_ActMid,Oligodendrocytes,FN1,MAG,3.82987881623994,3,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.1873315363881401,0.5148247978436657,0.1474170286415894,1.0,,,,
1-1,CN,PDGFB:ADGRV1,CapEC_ActMid,Astrocytes,PDGFB,ADGRV1,3.81087589061174,3,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0851752021563342,0.1566037735849056,0.0866889177417648,1.0,,,,
1-1,CN,SORBS1:ITGA1,CapEC_ActMid,CapEC_ActMid,SORBS1,ITGA1,3.74637733727614,3,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.3959568733153639,0.0242587601078167,0.0682509731416557,1.0,,,,
1-1,CN,VWF:SIRPA,CapEC_ActMid,Astrocytes,VWF,SIRPA,3.73781076761127,3,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.1501347708894878,0.6876010781671159,0.1558507421024093,1.0,,,,
1-1,CN,SORBS1:ITGA1,CapEC_ActHigh,CapEC_ActMid,SORBS1,ITGA1,3.71580187585757,3,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.3959568733153639,0.0242587601078167,0.0682509731416557,1.0,,,,
1-1,CN,LGALS3:ENG,CapEC_ActHigh,CapEC_ActHigh,LGALS3,ENG,3.71494992090924,3,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.2204851752021563,0.0776280323450134,0.1000112598235962,1.0,,,,
1-1,CN,CFH:ITGAM,CapEC_ActMid,Microglia,CFH,ITGAM,3.71077610784202,3,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0288409703504043,0.0099730458221024,3.040049851333125e-06,0.006151955426425,,,,
1-1,CN,SORBS1:ITGA1,CapEC_ActLow,CapEC_ActMid,SORBS1,ITGA1,3.70410558689883,3,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.3959568733153639,0.0242587601078167,0.0682509731416557,1.0,,,,
1-1,CN,ICAM2:ITGAM_ITGB2,CapEC_ActHigh,Microglia,ICAM2,ITGAM_ITGB2,3.69625626709721,3,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,False,0.0504043126684636,0.0,0.0,0.0,,,,
1-1,CN,SORBS1:ITGA1,CapEC_ActMid,CapEC_ActLow,SORBS1,ITGA1,3.65195562095133,3,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.3959568733153639,0.0242587601078167,0.0682509731416557,1.0,,,,
1-1,CN,SORBS1:ITGA1,CapEC_ActHigh,CapEC_ActLow,SORBS1,ITGA1,3.62196709250441,3,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.3959568733153639,0.0242587601078167,0.0682509731416557,1.0,,,,
1-1,CN,ANXA1:GRM7,CapEC_ActHigh,OPCs,ANXA1,GRM7,4.43127687263872,2,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0528301886792452,0.0954177897574124,0.0539894875499269,1.0,,,,
1-1,CN,GNAI2:S1PR1,CapEC_ActHigh,CapEC_ActHigh,GNAI2,S1PR1,4.0992378509831,2,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.5067385444743935,0.1698113207547169,0.1428219587539471,1.0,,,,
1-1,CN,GNAI2:P2RY12,CapEC_ActHigh,Microglia,GNAI2,P2RY12,3.933471439823,2,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.5067385444743935,0.0094339622641509,4.385077945423204e-05,0.044372047397656,,,,
1-1,CN,ANXA2:TLR2,CapEC_ActHigh,Microglia,ANXA2,TLR2,3.645583630928,2,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0482479784366576,0.0026954177897574,0.0,0.0,,,,
18-64,CN,ANGPT2:TEK,CapEC_ActHigh,CapEC_ActMid,ANGPT2,TEK,4.54361491584708,4,,True,official_CE,official_CE_computed,True,True,0.0893257029111719,0.1062453346603632,0.0801905643254389,1.0,0.9999999403953552,0.125590762225767,1.0,Endo_Capillary
18-64,CN,ANGPT2:TEK,CapEC_ActHigh,CapEC_ActHigh,ANGPT2,TEK,4.37288432730355,4,,True,official_CE,official_CE_computed,True,True,0.0893257029111719,0.1062453346603632,0.0801905643254389,1.0,0.9999999403953552,0.125590762225767,1.0,Endo_Capillary
18-64,CN,DLL4:NOTCH3,CapEC_ActHigh,Endothelial,DLL4,NOTCH3,3.97571022943378,4,,True,official_CE,official_CE_computed,True,True,0.0631998009455088,0.1930828564319482,0.0892983883988201,1.0,0.9999999403953552,0.0903584819724686,1.0,Micro_DAM
18-64,CN,ANGPT2:ITGA5_ITGB1,CapEC_ActHigh,CapEC_ActHigh,ANGPT2,ITGA5_ITGB1,4.20261655015507,5,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,False,0.0893257029111719,0.0,0.0,0.0,,,,
18-64,CN,EDN1:ADGRL4,CapEC_ActHigh,CapEC_ActHigh,EDN1,ADGRL4,5.53000649543383,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0395620801194326,0.0689226175665588,0.0545904342657951,1.0,,,,
18-64,CN,TGM2:SDC4,CapEC_ActHigh,Astrocytes,TGM2,SDC4,5.30562680132779,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.2453346603632744,0.4038317989549639,0.1519542998161952,1.0,,,,
18-64,CN,EDN1:ADGRL4,CapEC_ActHigh,CapEC_ActMid,EDN1,ADGRL4,4.93295337198607,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0395620801194326,0.0689226175665588,0.0545904342657951,1.0,,,,
18-64,CN,TGM2:SDC4,CapEC_ActMid,Astrocytes,TGM2,SDC4,4.7448514396223,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.2453346603632744,0.4038317989549639,0.1519542998161952,1.0,,,,
18-64,CN,ANGPT2:TIE1,CapEC_ActHigh,CapEC_ActHigh,ANGPT2,TIE1,4.67077082937509,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0893257029111719,0.1137098780791241,0.0780947324234872,1.0,,,,
