LR_Pair,sample,group,spatial_score_mean
VWF:ITGB1,2-8,AD,0.14445887299422153
VWF:ITGB1,T4857,AD,0.13842486341969815
VWF:LRP1,1-1,CN,0.1445594198942057
VWF:LRP1,18-64,CN,0.3297142645443814
VWF:LRP1,2-3,AD,0.21124410542427574
VWF:LRP1,2-5,CN,0.25687908549669547
VWF:LRP1,2-8,AD,0.19121118858506458
VWF:LRP1,T4857,AD,0.21927307277148494
VWF:SIRPA,1-1,CN,0.15388106854406836
VWF:SIRPA,18-64,CN,0.3878519106746312
VWF:SIRPA,2-3,AD,0.30721361392683316
VWF:SIRPA,2-5,CN,0.31498030869592497
VWF:SIRPA,2-8,AD,0.2256572329250243
VWF:SIRPA,T4857,AD,0.26281151557540827
